00:05.823,2L6+
01:04.229,62
01:04.549,2R
01:04.708,5
01:04.867,6+
01:05.027,3
01:05.187,6L
01:05.346,3
01:05.506,2+
01:05.666,5
01:05.825,2L
01:05.985,4
01:06.144,5+
01:06.304,1U5-
01:06.623,4
01:06.783,25
01:07.102,1+4+
01:07.262,4-
01:07.422,5+
01:07.581,2-5-
01:07.741,6+2+
01:07.900,6-
01:08.060,5+
01:08.220,1-5-
01:08.379,6+3+
01:08.539,3-
01:08.699,2+
01:08.858,2-5-
01:09.017,2U5U
01:09.336,2+
01:09.496,2-5
01:09.655,1+4+
01:09.815,4-
01:09.974,1-5+
01:10.135,2+5-
01:10.294,6+2-
01:10.453,3+
01:10.613,6-3-
01:10.772,25
01:10.932,1+4+
01:11.092,4-
01:11.252,5+
01:11.410,1L5R
01:11.730,25
01:11.890,63
01:12.209,6+3+
01:12.369,3-
01:12.528,6-2+
01:12.687,2-5+
01:12.847,1+5-
01:13.006,4+
01:13.166,1-4-
01:13.326,25
01:13.485,6+3+
01:13.645,3-
01:13.806,2+
01:13.964,6L2L
01:14.284,25
01:14.444,14
01:14.762,2R
01:14.922,5
01:15.081,6+
01:15.241,3
01:15.401,6L
01:15.560,3
01:15.719,2+
01:15.879,5
01:16.039,2L
01:16.198,4
01:16.358,5+
01:16.518,1U5-
01:16.837,4
01:16.997,25
01:17.315,25
01:17.474,3
01:17.635,4
01:17.794,5
01:17.953,62
01:18.113,3
01:18.273,4
01:18.432,5
01:18.592,2
01:18.673,5
01:18.752,2
01:18.831,5
01:18.910,2
01:18.990,5
01:19.070,2
01:19.150,5
01:19.231,2U
01:19.855,(3.5)
01:29.444,1U
01:30.083,1+6+
01:31.358,6U3U
01:32.316,6
01:32.636,6+3+
01:33.911,4U1U
01:35.189,2+
01:35.508,2-4
01:35.667,5
01:36.146,15
01:36.465,5+
01:36.784,35-
01:36.944,2
01:37.423,62
01:37.741,25
01:37.902,3
01:38.062,4
01:38.220,5
01:38.379,62
01:38.540,3
01:38.701,4
01:38.859,5
01:39.019,2
01:39.098,5
01:39.179,2
01:39.258,5
01:39.337,2
01:39.417,5
01:39.497,2
01:39.577,5
01:39.658,2U
01:40.296,1+4+
01:40.455,4-
01:40.615,1-5+
01:40.775,2+5-
01:40.934,6+2-
01:41.093,3+
01:41.253,6-3-
01:41.413,25
01:41.572,1+4+
01:41.731,4-
01:41.891,5+
01:42.051,1L5R
01:42.370,25
01:42.530,63
01:42.848,6+3+
01:43.008,3-
01:43.168,6-2+
01:43.328,2-5+
01:43.488,1+5-
01:43.647,4+
01:43.807,1-4-
01:43.966,25
01:44.126,6+3+
01:44.286,3-
01:44.445,2+
01:44.604,6L2L
01:44.923,25
01:45.083,14
01:45.402,2R
01:45.562,5
01:45.721,6+
01:45.881,3
01:46.040,6L
01:46.200,3
01:46.360,2+
01:46.519,5
01:46.678,2L
01:46.839,4
01:46.998,5+
01:47.157,1U5-
01:47.477,14
01:47.636,25
01:47.955,25
01:48.115,3
01:48.274,4
01:48.434,5
01:48.594,62
01:48.754,3
01:48.914,4
01:49.073,5
01:49.232,2
01:49.312,5
01:49.391,2
01:49.471,5
01:49.551,2
01:49.631,5
01:49.711,2
01:49.791,5
01:49.870,2
01:49.950,6
01:50.030,2
01:50.110,6
01:50.190,2
01:50.268,6
01:50.349,2
01:50.429,6
01:50.509,2+
01:50.669,5
01:50.828,1-4+
01:50.987,2+4-
01:51.147,2-5+
01:51.307,2
01:51.465,1+4-
01:51.626,4
01:51.785,1-5+
01:51.945,2
01:52.104,6-3+
01:52.264,3-5+
01:52.424,2+5-
01:52.584,6
01:52.743,6+3-
01:52.903,3
01:53.063,6-2+
01:53.222,5
01:53.381,6+3-
01:53.541,6-3+
01:53.701,3-5+
01:53.860,2
01:54.020,6-3+
01:54.179,6
01:54.338,6+3-
01:54.498,3
01:54.658,2+5-
01:54.817,5+
01:54.976,2L5L
01:55.296,2
01:55.456,4
01:55.615,2+
01:55.776,5
01:55.935,1-4+
01:56.094,2+4-
01:56.254,2-5+
01:56.413,2
01:56.572,1+4-
01:56.733,5
01:56.892,1-6+
01:57.052,2
01:57.211,3+5-
01:57.371,3-5+
01:57.530,5-3+
01:57.689,5
01:57.849,62-
01:58.169,2+5+
01:58.488,2-5-
01:58.806,2L5R
01:59.126,16
01:59.445,1R6L
01:59.765,25
02:00.083,4+
02:00.323,2+4-
02:00.562,2-5
02:00.722,2+
02:00.882,5
02:01.041,1-4+
02:01.201,2+4-
02:01.361,2-4+
02:01.520,2
02:01.679,1+5-
02:01.840,5
02:01.999,1-6+
02:02.158,2
02:02.318,3+5-
02:02.478,5+3-
02:02.636,2+5-
02:02.797,6
02:02.957,1-6+
02:03.116,2
02:03.275,6-3+
02:03.435,5
02:03.595,2-4+
02:03.754,1+4-
02:03.914,1-5+
02:04.073,2
02:04.233,6-3+
02:04.393,5
02:04.552,3-5+
02:04.711,3
02:04.871,6-2+
02:05.031,6+
02:05.191,6R2R
02:05.510,2
02:05.669,5
02:05.829,1+6+
02:07.105,1U6U
02:08.382,1+6
02:08.541,6
02:08.700,5
02:08.861,1-5
02:09.021,16+
02:09.179,1
02:09.339,2
02:09.500,6-2
02:09.659,2R
02:09.818,5R
02:10.138,2
02:10.297,5L
02:10.457,2L
02:10.775,16
02:10.935,1+6+
02:11.893,1R6L
