00:00.877,2U5R
00:27.019,3-
00:27.102,4
00:27.186,2
00:27.270,4
00:27.352,2
00:27.436,5
00:27.524,3
00:27.615,5
00:27.700,3+
00:27.860,4
00:28.020,2-5
00:28.187,3
00:28.271,5
00:28.357,3
00:28.537,4
00:28.693,2+
00:28.840,6
00:29.018,2-5
00:29.185,4
00:29.351,3
00:29.518,4
00:29.602,2
00:29.685,4
00:29.852,3
00:30.019,4
00:30.185,5
00:30.269,2
00:30.352,4+
00:30.510,3
00:30.682,25-
00:30.852,4
00:30.935,2
00:31.012,4
00:31.169,3
00:31.336,5+
00:31.508,1
00:31.669,25-
00:31.836,3
00:32.005,4
00:32.185,3
00:32.256,5
00:32.337,3
00:32.503,4
00:32.670,3
00:32.841,2
00:32.935,5
00:33.017,3+
00:33.186,4
00:33.342,52-
00:33.502,3
00:33.589,5
00:33.687,3
00:33.845,4
00:34.012,2+
00:34.169,6
00:34.336,2-5
00:34.502,4
00:34.669,3
00:34.836,4
00:34.919,2
00:35.003,4
00:35.169,3
00:35.337,4
00:35.503,5
00:35.586,2
00:35.670,4L
00:35.893,25
00:36.114,63
00:36.338,14
00:36.572,25
00:36.782,3R
00:37.672,2U
00:38.010,5
00:38.094,3
00:38.170,5R
00:38.503,2
00:38.670,5+
00:38.837,3
00:39.004,25-
00:39.170,4
00:39.337,3
00:39.504,15+
00:39.853,25-
00:40.005,4
00:40.172,1+
00:40.338,1-5
00:40.422,2
00:40.505,4
00:40.672,3
00:40.755,5
00:40.839,2
00:41.005,6+
00:41.339,6-3
00:41.506,5+
00:41.673,2
00:41.852,35-
00:42.006,4
00:42.181,1+5
00:42.507,1-4
00:42.674,3
00:42.840,5+
00:43.008,15-
00:43.091,5
00:43.175,2
00:43.342,3+
00:43.675,6+3-
00:44.009,16-
00:44.175,5
00:44.342,2
00:44.510,3
00:44.676,4
00:44.843,25+
00:45.182,15-
00:45.353,2+6
00:45.677,2-5+
00:45.844,3
00:46.022,25-
00:46.388,16+
00:46.554,2
00:46.701,35-
00:46.865,5+
00:47.006,3
00:47.196,2
00:47.364,16-
00:47.442,5
00:47.534,2+
00:47.865,3-5+
00:48.039,2
00:48.199,16-
00:48.290,5+
00:48.370,2
00:48.529,34
00:48.867,2+5
00:49.191,6
00:49.372,2-5
00:49.543,4
00:49.691,3
00:49.861,5
00:50.024,2
00:50.192,14+
00:50.529,24-
00:50.692,5
00:50.862,4
00:51.029,3
00:51.190,4
00:51.353,3
00:51.437,5
00:51.520,2
00:51.613,4
00:51.707,1+
00:51.873,6
00:52.034,1-5
00:52.184,6
00:52.351,2R
00:52.518,5L
00:52.685,3
00:52.768,5
00:52.852,2+
00:53.192,4
00:53.365,2-5+
00:53.687,35-
00:53.852,2
00:54.018,4
00:54.186,35+
00:54.516,25-
00:54.676,16+
00:55.037,36-
00:55.182,4
00:55.367,5
00:55.513,2+4
00:56.021,62-
00:56.106,1
00:56.187,5
00:56.268,2
00:56.347,4
00:56.522,3
00:56.855,2+5+
01:00.167,1=6=
01:00.433,2=5=
01:00.839,1=6=
01:02.343,2L5R
01:02.677,2
01:02.844,5
01:03.011,3
01:03.344,5
01:03.511,2
01:03.678,4
01:03.845,6
01:04.012,3
01:04.178,5+
01:04.346,2
01:04.512,4
01:04.679,1
01:04.846,3
01:05.012,4
01:05.096,2
01:05.180,5
01:05.347,3
01:05.514,6
01:05.683,4
01:05.854,2
01:06.008,5
01:06.170,3
01:06.338,6
01:06.505,4
01:06.671,2
01:06.849,6
01:07.021,3
01:07.102,5
01:07.179,2
01:07.351,4
01:07.522,2
01:07.605,5
01:07.689,3+
01:07.859,4
01:08.011,2-5
01:08.173,3
01:08.256,5
01:08.339,3
01:08.505,4
01:08.672,2+
01:08.839,62-
01:08.923,2
01:09.006,5+
01:09.173,4
01:09.340,3
01:09.507,4
01:09.590,2
01:09.674,4
01:09.840,3
01:10.007,4
01:10.174,5
01:10.258,2
01:10.341,4+
01:10.507,3
01:10.675,25-
01:10.842,4
01:10.925,2
01:11.008,4
01:11.175,3
01:11.342,5+
01:11.513,15-
01:11.596,5
01:11.676,2
01:11.843,3
01:12.010,4
01:12.176,3
01:12.260,5
01:12.343,3
01:12.513,4
01:12.687,3
01:12.844,2
01:12.927,5
01:13.012,3+
01:13.177,4
01:13.344,2-5
01:13.517,3
01:13.604,5
01:13.678,3
01:13.845,4
01:14.028,2+
01:14.185,2-6
01:14.272,2
01:14.353,5
01:14.521,4
01:14.691,3
01:14.855,4
01:14.949,2
01:15.045,4
01:15.213,3
01:15.379,24
01:15.529,3
01:15.696,15
01:15.919,24
01:16.142,36
01:16.363,14
01:16.586,35
01:16.809,26
01:17.365,25
01:17.699,4
01:17.865,1
01:18.032,6
01:18.199,2R5L
01:18.699,25
01:19.033,6U1U
01:19.484,0!
01:25.033,6+
01:25.365,16-
01:25.530,5
01:25.696,2
01:25.863,3
01:26.029,4
01:26.196,25+
01:26.530,15-
01:26.696,2+6
01:27.002,2-5+
01:27.169,3
01:27.335,25-
01:27.670,16+
01:27.836,2
01:28.003,5-3
01:28.170,5+
01:28.337,3
01:28.513,2
01:28.685,16-
01:28.763,5
01:28.837,2+
01:29.171,3-5+
01:29.350,2
01:29.516,16-
01:29.596,5
01:29.672,2
01:29.838,34
01:30.179,2+
01:30.505,5
01:30.687,2-5+
01:30.847,4
01:31.009,3
01:31.190,5
01:31.353,2
01:31.519,14+
01:31.849,24-
01:32.015,5
01:32.172,4
01:32.350,3
01:32.514,4
01:32.687,3
01:32.764,5
01:32.840,2
01:32.924,4
01:33.011,1+
01:33.174,6
01:33.346,1-5
01:33.515,6
01:33.679,2R
01:33.840,5L
01:34.013,3
01:34.108,5
01:34.191,2+
01:34.521,4
01:34.675,2-5+
01:35.009,35-
01:35.176,2
01:35.343,4
01:35.509,35+
01:35.843,25-
01:36.010,16+
01:36.344,36-
01:36.510,4
01:36.677,5
01:36.844,2+4
01:37.178,6
01:37.345,2-6
01:37.511,5
01:37.595,2
01:37.678,4
01:37.845,1
01:38.012,3
01:38.191,2+5
01:38.512,2-6
01:38.690,1+5
01:39.013,1-4
01:39.184,3
01:39.347,2
01:39.519,35+
01:39.853,1
01:40.026,15-
01:40.114,4
01:40.197,2
01:40.286,5
01:40.375,3
01:40.454,4
01:40.525,2
01:40.604,5
01:40.686,3
01:40.871,25+
01:41.194,15-
01:41.361,26+
01:41.695,36-
01:41.864,4
01:42.031,5+
01:42.198,2+4
01:42.698,2-6
01:42.782,1
01:42.871,5
01:42.966,2
01:43.048,4
01:43.215,3
01:43.539,1+6
01:43.864,4
01:44.031,5
01:44.365,6
01:44.532,5
01:44.865,6
01:45.366,6
01:45.533,5
01:45.700,6+
01:45.866,6-
01:46.038,5
01:46.198,6
01:46.367,2=
01:46.532,6
01:46.699,5
01:47.048,6
01:47.216,5+
01:47.362,5-
01:47.515,4
01:47.848,5
01:48.023,6
01:48.349,4
01:48.531,5+
01:48.697,5-
01:48.847,6U1U
01:49.180,5
01:49.346,16
01:49.515,5
01:49.597,2
01:49.681,4
01:49.848,3+
01:50.014,63-
01:50.180,15+
01:50.515,25-
01:50.681,16
01:50.848,2
01:50.932,5+
01:51.015,2
01:51.194,3
01:51.348,4
01:51.528,25+
01:51.856,35-
01:52.016,2+4
01:52.367,2-5
01:52.532,6
01:52.697,15
01:52.848,4
01:52.931,2
01:53.022,5
01:53.197,1+6
01:53.348,5
01:53.514,1-6
01:53.681,16+
01:53.864,2
01:54.031,16-
01:54.184,1+6+
01:55.684,2=5=
01:59.515,1U6U
