00:04.374,2+1+
00:54.450,1-2
00:54.891,2
00:55.112,1
00:55.333,2
00:55.553,1
00:55.774,2
00:55.994,1
00:56.215,2
00:56.325,1+
00:56.656,1-2
00:56.876,1
00:57.097,2
00:57.317,1+
00:57.648,1-2+
00:57.979,12-
00:58.421,2
00:58.641,1
00:58.862,2
00:59.082,1L2R
00:59.413,1L2R
00:59.744,1+2+
01:00.406,1-2-
01:00.626,1
01:00.737,2
01:00.847,1+
01:01.288,1-2
01:01.729,2+
01:02.170,12-
01:02.612,12
01:02.832,12
01:03.053,2R1L
01:03.715,12
01:03.935,12
01:04.156,2U1U
01:05.259,1R2L
01:06.141,2
01:06.363,1
01:06.583,2
01:06.804,1
01:06.914,2+
01:07.245,12-
01:07.465,2
01:07.687,1
01:07.906,2+
01:08.238,2-1+
01:08.568,1-2
01:09.010,2
01:09.230,1
01:09.450,2
01:09.671,1
01:09.893,2
01:10.112,1
01:10.334,2
01:10.443,1+
01:10.774,1-2
01:10.995,1
01:11.216,2
01:11.436,1+
01:11.766,1-2+
01:12.098,12-
01:12.759,1
01:12.980,2
01:13.201,1+2+
01:13.862,1-2-
01:14.083,1+2+
01:14.524,1-2-
01:14.745,2
01:14.965,1R2L
01:15.406,1L2R
01:15.849,1R2L
01:16.289,1+2+
01:18.495,1U2L
01:19.157,1U2L
01:19.598,1
01:19.819,2
01:20.039,1
01:20.481,2
01:20.702,1
01:20.922,2
01:21.363,1
01:21.584,2
01:21.805,1+2
01:22.246,1-2
01:22.466,1
01:22.687,2
01:22.907,1L2R
01:23.789,12+
01:24.231,1
01:24.672,1
01:25.113,1
01:25.555,1+2-
01:25.996,1-2
01:26.216,1L
01:26.657,12
01:26.878,2
01:27.098,1
01:27.540,12
01:27.760,1
01:27.981,2
01:28.422,2
01:28.643,1
01:28.864,1+2
01:29.305,1-2
01:29.525,1
01:29.745,2
01:29.967,2+1
01:30.407,12-
01:30.628,2
01:30.849,1+2+
01:32.614,2R1L
01:34.361,(1.5)
01:41.437,12
01:41.878,12
01:42.320,12
01:42.761,12
01:42.982,1
01:43.091,2
01:43.203,1
01:43.644,12
01:44.085,2
01:44.526,12
01:44.967,12
01:45.187,12
01:45.408,1L2R
01:46.070,12
01:46.290,12
01:46.512,2U1U
01:47.614,1R2L
01:48.497,2
01:48.717,1
01:48.938,12
01:49.269,12+
01:49.600,12-
01:49.820,2
01:50.041,1
01:50.261,2+
01:50.592,1+2-
01:50.923,1-2
01:51.364,2
01:51.585,1
01:51.806,2
01:52.027,1
01:52.247,2
01:52.468,1
01:52.688,2
01:52.798,1+
01:53.130,1-2
01:53.350,1
01:53.571,1
01:53.791,2
01:54.012,1
01:54.122,2+
01:54.453,12-
01:55.115,1
01:55.336,2
01:55.556,1+
01:55.997,1-2
01:56.218,1
01:56.438,2+
01:56.879,12-
01:57.100,2
01:57.321,1+
01:57.761,1-2
01:58.203,2+
01:58.644,2-1
01:59.085,1+
01:59.527,1-2
01:59.747,1
01:59.968,2+
02:00.409,12-
02:00.629,1+2+
02:01.512,1-2-
02:02.175,1
02:02.394,2
02:02.615,1+2+
02:03.277,1-2-
02:03.498,1+2+
02:03.938,1-2-
02:04.159,2
02:04.379,1R2L
02:04.821,1L2R
02:05.262,1R2L
02:05.703,1+2+
02:07.469,1-2-
02:07.910,1
02:08.130,2
02:08.351,1
02:08.571,2
02:08.682,1
02:08.792,2
02:09.233,12
02:09.453,1
02:09.674,12
02:10.115,2
02:10.335,1
02:10.556,2
02:10.777,1
02:10.997,2
02:11.218,1
02:11.439,12+
02:11.880,12-
02:12.101,2
02:12.210,1
02:12.321,2
02:12.763,2
02:12.983,1
02:13.093,2
02:13.204,1
02:13.661,12
02:14.102,12
02:14.543,12
02:14.984,12
02:15.426,12
02:15.867,12
02:16.308,12
02:16.749,1+2+
02:17.190,1-2-
02:17.632,1+2+
02:18.073,2-1-
02:18.513,1+2+
02:19.176,1-2-
02:19.396,1L2R
