00:04.192,1U2R
00:37.699,1
00:38.027,1
00:38.187,2
00:38.366,1
00:38.528,2
00:38.698,1
00:39.029,2L
00:39.246,1
00:39.472,2
00:39.699,1
00:39.916,2
00:40.132,1R
00:41.020,1U
00:41.519,2U
00:41.857,1
00:42.021,2+
00:42.354,12-
00:42.533,2
00:42.687,1
00:42.854,2+
00:43.195,12-
00:43.353,2
00:43.541,1+
00:44.021,1-2
00:44.357,2+
00:44.683,12-
00:44.849,2+
00:45.188,12-
00:45.342,2
00:45.524,1+
00:45.856,1-2
00:46.021,1
00:46.189,2+
00:46.693,12-
00:47.030,2+
00:47.356,12-
00:47.528,2
00:47.854,1
00:48.185,12
00:48.687,1+2
00:49.034,1-2+
00:49.368,12-
00:49.688,12+
00:50.035,1+2-
00:50.198,2+
00:51.705,1-2-
00:51.863,12
00:52.188,1+
00:52.688,1-2
00:53.036,1
00:53.202,2
00:53.356,1
00:53.529,2+
00:53.864,12-
00:54.033,2
00:54.363,1
00:54.692,2+
00:55.034,1+2-
00:55.360,1-2
00:55.704,1R
00:55.872,2L
00:56.187,1+2+
00:56.704,1-2-
00:57.025,2
00:57.371,1
00:57.538,2+
00:57.851,12-
00:58.018,2+
00:58.351,12-
00:58.518,1
00:58.685,2
00:58.854,1+
00:59.364,1-2
00:59.539,1
00:59.690,2
00:59.853,1
01:00.199,1+2+
01:05.692,1R2L
01:06.026,1
01:06.193,2
01:06.693,2
01:06.860,1
01:07.361,1
01:07.528,2
01:07.855,2
01:08.023,1
01:08.362,1
01:08.529,2
01:08.696,1
01:08.862,2
01:09.363,2
01:09.530,1
01:10.028,1
01:10.181,2
01:10.511,2
01:10.677,1
01:11.012,1
01:11.178,2
01:11.345,1
01:11.681,1
01:11.865,2
01:12.029,1
01:12.198,2
01:12.332,1
01:12.665,1
01:12.833,2
01:12.998,1
01:13.169,2
01:13.337,1
01:13.665,2
01:13.832,1
01:14.005,2
01:14.332,2
01:14.510,1
01:14.683,2
01:14.863,1
01:15.006,2
01:15.336,2
01:15.517,1
01:15.678,2
01:15.851,1
01:16.018,2
01:16.348,1
01:16.518,2
01:16.685,1
01:17.018,1
01:17.186,2
01:17.352,1
01:17.519,2
01:17.685,1
01:18.019,1
01:18.187,2
01:18.353,1
01:18.520,2
01:18.687,1
01:19.020,12
01:19.243,2
01:19.467,12
01:19.688,12
01:19.910,1
01:20.132,12
01:20.688,12
01:21.023,2
01:21.189,1
01:21.524,1R2L
01:22.022,2
01:22.358,1U
01:22.842,1!
01:28.363,2+
01:28.697,12-
01:28.864,2
01:29.214,1
01:29.548,12
01:30.048,1+2
01:30.369,1-2+
01:30.696,12-
01:31.033,12+
01:31.371,1+2-
01:31.536,2+
01:33.022,1-2-
01:33.188,12
01:33.522,1+
01:34.022,1-2
01:34.356,1
01:34.523,2
01:34.690,1
01:34.857,2+
01:35.190,12-
01:35.351,2
01:35.691,1
01:36.025,2+
01:36.346,1+2-
01:36.675,1-2
01:37.010,1R
01:37.176,2L
01:37.510,2+1+
01:38.010,1-2-
01:38.346,2
01:38.677,1
01:38.845,2+
01:39.178,12-
01:39.345,2
01:39.678,2
01:39.845,1
01:40.012,2+
01:40.186,1+
01:40.688,1-2-
01:41.027,2
01:41.193,1
01:41.359,2
01:41.531,1+
01:41.863,1-2
01:42.031,1
01:42.365,1
01:42.531,2
01:42.698,1+
01:42.866,2+
01:43.366,1-2-
01:43.699,1
01:43.866,2
01:44.033,1
01:44.199,2+
01:44.533,12-
01:44.700,2
01:45.034,2
01:45.201,1
01:45.368,2+
01:45.535,1+
01:46.035,1-2-
01:46.202,2
01:46.368,1
01:46.534,2
01:46.868,1+2+
01:52.192,1U2U
01:52.545,1
01:52.701,2
01:53.018,2
01:53.186,1
01:53.533,12
01:54.019,12
01:54.353,1
01:54.520,2
01:54.686,1
01:54.853,2
01:55.187,2
01:55.354,12
01:55.688,1
01:55.855,2
01:56.020,1
01:56.189,2
01:56.355,1
01:56.521,12
01:56.872,2
01:57.039,12
01:57.371,12
01:57.539,1+2+
02:02.856,1U2U
