00:01.623,15+
00:45.260,2+6
00:45.804,5
00:46.350,1-4
00:46.895,1
00:47.440,14+
00:47.985,2+5-
00:48.260,6
00:48.531,3-6
00:49.076,6+3
00:49.622,2+5-
00:50.168,1-4+
00:50.713,1+5-
00:51.261,2-6
00:51.806,14
00:52.076,5
00:52.351,2+6
00:52.895,2-6
00:53.443,5+
00:53.999,2U5-
00:54.547,25U
00:55.093,25
00:55.366,1
00:55.639,25
00:55.774,4
00:55.912,3
00:56.186,25+
00:56.456,3
00:56.730,5-2L
00:57.002,6
00:57.276,25
00:57.549,34
00:57.821,2
00:57.913,5
00:58.003,2
00:58.095,5
00:58.185,2
00:58.277,5
00:58.368,2U
00:58.910,25U
00:59.458,25
00:59.730,6
01:00.003,25
01:00.138,4
01:00.276,3
01:00.549,25+
01:00.821,3
01:01.094,5-2L
01:01.640,6
01:01.730,3
01:01.820,6
01:01.912,3
01:02.002,6
01:02.099,3
01:02.185,5
01:02.276,2
01:02.367,5
01:02.455,2
01:02.545,5
01:02.640,2
01:02.729,5+
01:03.276,6-2+
01:03.822,1-5+
01:04.094,2
01:04.368,6-3
01:04.503,5
01:04.641,4
01:04.913,2+6
01:05.186,5
01:05.459,1-4+
01:05.731,2
01:06.003,6-3
01:06.278,25
01:06.551,4
01:06.641,2
01:06.731,5
01:06.821,2
01:06.914,6
01:07.004,2
01:07.095,6+
01:07.365,3
01:07.641,2+5-
01:07.912,6
01:08.187,1-5+
01:08.459,2
01:08.730,36-
01:08.868,5
01:09.005,4
01:09.277,25
01:09.549,16
01:09.838,2+5+
01:10.385,1-4-
01:10.657,14
01:10.922,5
01:11.013,2
01:11.103,5
01:11.182,2
01:11.269,5
01:11.361,2
01:11.450,5L
01:11.997,2
01:12.542,3
01:13.087,4
01:13.635,2L
01:14.179,3
01:14.725,5R
01:14.996,3
01:15.269,1
01:15.815,25
01:16.087,34
01:16.361,25
01:16.633,16
01:16.905,25
01:17.176,34
01:17.450,25
01:17.723,16
01:17.995,25
01:18.131,5
01:18.267,3U
01:18.677,2U5
01:19.083,1U6
01:19.219,5
01:19.289,3
01:19.356,5
01:19.503,4
01:19.628,3
01:19.765,5
01:19.916,4
01:20.063,3
01:20.204,25
01:20.341,5
01:20.468,3+
01:20.749,3-5+
01:21.023,25-
01:21.160,4
01:21.295,3
01:21.430,35+
01:21.704,25-
01:21.840,4+
01:22.113,14-
01:22.385,25
01:22.523,2
01:22.659,4+
01:22.930,2+4-
01:23.205,2-5
01:23.341,3
01:23.477,4
01:23.613,2+4
01:23.884,2-5
01:24.022,3+
01:24.296,3-6
01:24.430,5
01:24.567,24
01:24.840,1+5
01:25.113,1-6+
01:25.386,6-3
01:25.521,4
01:25.658,25+
01:25.931,35-
01:26.067,4+
01:26.203,2
01:26.476,14-
01:26.749,5+2R
01:27.159,5-
01:27.295,62R
01:27.556,5
01:27.822,52R
01:27.959,4
01:28.096,3
01:28.232,2
01:28.301,5
01:28.368,3
01:28.504,4
01:28.640,2
01:28.776,5
01:28.914,35
01:29.051,4
01:29.187,2
01:29.323,5
01:29.459,35
01:29.732,3
01:29.869,5
01:30.006,2
01:30.143,24+
01:30.421,14-
01:30.558,5+
01:30.829,25-
01:31.107,1+6
01:31.386,1-4
01:31.515,3
01:31.638,4
01:31.781,5
01:31.915,4
01:32.056,3
01:32.187,5
01:32.327,2+5
01:32.579,2-4
01:32.716,3+
01:32.991,3-5
01:33.127,2
01:33.272,25
01:33.536,3
01:33.671,4
01:33.808,25+
01:34.082,35-
01:34.217,6
01:34.353,62
01:34.625,3
01:34.761,4+
01:34.896,1
01:35.172,24-
01:35.446,5+2L
01:35.718,3
01:35.853,35-
01:36.137,5
01:36.263,5+2L
01:36.681,3
01:36.817,35-
01:36.952,4
01:37.021,2
01:37.089,5
01:37.224,4
01:37.362,3
01:37.499,2
01:37.632,2U5U
01:38.045,24
01:38.444,1
01:38.717,24
01:38.991,3
01:39.128,4
01:39.195,2
01:39.263,5
01:39.400,4
01:39.536,3
01:39.673,4
01:39.810,25
01:40.082,16
01:40.355,25
01:40.626,5
01:40.717,3
01:40.807,4
01:40.899,2
01:41.035,3
01:41.171,4
01:41.310,3
01:41.377,5
01:41.445,2
01:41.578,25
01:41.991,5+2U
01:42.404,1+6-
01:42.809,2-5
01:43.082,5+2U
01:43.491,1+6-
01:43.898,2-5
01:44.178,(3.5)
01:52.916,25
01:53.188,34
01:53.461,25
01:53.598,4
01:53.734,3
01:54.007,25
01:54.145,3
01:54.280,4
01:54.554,5+
01:54.690,2
01:54.826,26-
01:55.098,25
01:55.371,34
01:55.645,52L
01:55.780,4
01:55.915,3
01:56.189,25
01:56.326,3
01:56.461,4
01:56.733,25R
01:57.008,34
01:57.281,25
01:57.553,34
01:57.821,25
01:57.963,4
01:58.099,3
01:58.371,25
01:58.508,3
01:58.645,4
01:58.908,2+
01:59.040,5
01:59.172,1-5
01:59.445,25
01:59.582,2
01:59.651,5
01:59.718,3
01:59.856,4
01:59.998,25
02:00.136,5
02:00.206,2
02:00.272,4
02:00.400,3
02:00.536,2+
02:00.627,5+
02:00.719,2-
02:00.810,5-
02:00.899,2
02:00.992,4
02:01.083,3
02:01.174,5
02:01.265,2
02:01.356,6
02:01.446,1
02:01.538,5
02:01.629,2
02:02.174,3
02:02.720,4
02:03.266,5
02:03.811,63R
02:04.356,5
02:04.630,3
02:04.902,1L
02:05.446,3
02:05.991,2
02:06.538,1+4
02:07.084,63-
02:07.630,6
02:08.176,2U
02:08.718,2U
02:09.266,35
02:09.539,2
02:09.811,1
02:10.357,2+6
02:10.902,5
02:11.452,1-4
02:12.001,1
02:12.550,14+
02:13.099,2+5-
02:13.369,6
02:13.646,3-6
02:14.192,26+
02:14.733,1U6-
02:15.282,26+
02:15.829,6-3U
02:16.375,26+
02:16.918,36-
02:17.190,2
02:17.463,1+6+
02:18.010,1R6L
