0:0:0.625,6R1L
0:0:22.557,5
0:0:22.754,3+
0:0:22.952,6
0:0:23.150,2-5
0:0:23.348,4
0:0:23.545,2+
0:0:23.750,5
0:0:23.957,1-4
0:0:24.155,2
0:0:24.352,4+
0:0:24.549,1
0:0:24.747,25-
0:0:24.945,3+6
0:0:25.142,3-5+
0:0:25.340,25-
0:0:25.538,4
0:0:25.735,3
0:0:25.931,2
0:0:26.129,15
0:0:26.327,4+
0:0:26.525,2
0:0:26.722,1+4-
0:0:26.919,5
0:0:27.116,1-6+
0:0:27.314,2
0:0:27.511,3+6-
0:0:27.709,5
0:0:27.900,3-5
0:0:28.083,26+
0:0:28.272,1+6-
0:0:28.473,1-5
0:0:28.676,2
0:0:28.865,35
0:0:29.055,6+
0:0:29.267,1
0:0:29.467,26-
0:0:29.665,6
0:0:29.862,2U6U
0:0:30.060,2L6R
0:0:30.257,5
0:0:30.455,24
0:0:30.639,1+
0:0:30.817,6
0:0:31.014,1-5
0:0:31.212,1
0:0:31.410,1U5U
0:0:31.607,1L5R
0:0:31.805,4
0:0:32.003,2
0:0:32.200,4+
0:0:32.398,1
0:0:32.595,24-
0:0:32.793,35
0:0:32.991,6+
0:0:33.188,2
0:0:33.386,1+6-
0:0:33.583,1-5
0:0:33.781,4L
0:0:33.979,14
0:0:34.176,15
0:0:34.375,62
0:0:34.572,63
0:0:34.769,5
0:0:34.869,2
0:0:34.966,4
0:0:35.162,2
0:0:35.395,3R
0:0:35.428,5
0:0:35.781,25
0:0:35.979,16
0:0:36.176,2
0:0:36.242,5
0:0:36.308,2
0:0:36.374,5+
0:0:36.571,35-
0:0:36.768,24
0:0:36.967,1U5U
0:0:37.362,2
0:0:37.560,61
0:0:37.757,5
0:0:37.955,4
0:0:38.152,3
0:0:38.349,52
0:0:38.548,1L4L
0:0:38.943,3
0:0:39.140,4
0:0:39.273,5+
0:0:39.338,2+
0:0:39.404,5-
0:0:39.470,2-
0:0:39.536,4+
0:0:39.731,1+4-
0:0:39.921,51-
0:0:40.120,26R
0:0:40.515,1+
0:0:40.713,1-5+
0:0:40.891,2R5-
0:0:41.078,63
0:0:41.467,3
0:0:41.566,5
0:0:41.665,3
0:0:41.764,5
0:0:41.862,2+
0:0:42.060,1-5
0:0:42.258,4+
0:0:42.455,24-
0:0:42.521,5
0:0:42.587,2
0:0:42.652,5
0:0:42.851,3
0:0:43.048,4
0:0:43.147,2
0:0:43.245,5+
0:0:43.444,1
0:0:43.641,6-2
0:0:43.840,3+
0:0:44.067,5
0:0:44.265,3-5
0:0:44.462,4
0:0:44.660,63
0:0:44.857,2
0:0:44.956,5
0:0:45.054,2
0:0:45.154,5
0:0:45.252,1
0:0:45.351,6
0:0:45.449,1
0:0:45.549,6
0:0:45.648,2
0:0:45.746,5
0:0:45.826,3
0:0:45.942,4
0:0:46.041,2
0:0:46.139,5
0:0:46.239,1
0:0:46.435,2+4
0:0:46.634,5
0:0:46.831,2-6+
0:0:47.227,6-2+
0:0:47.414,2-5
0:0:47.604,2+5+
0:0:47.999,61+
0:0:48.197,5
0:0:48.395,1-4
0:0:48.593,2
0:0:48.791,15+
0:0:48.988,2
0:0:49.186,5-3
0:0:49.383,4
0:0:49.581,3+6
0:0:49.779,5
0:0:49.990,6+3-
0:0:50.191,2
0:0:50.389,1+6-
0:0:50.586,5
0:0:50.784,1-4+
0:0:50.981,24-
0:0:51.179,5
0:0:51.278,3
0:0:51.377,6+
0:0:51.575,6-2+
0:0:51.773,2-5+
0:0:51.970,15-
0:0:52.168,24
0:0:52.365,3
0:0:52.564,4
0:0:52.761,5
0:0:52.958,2
0:0:53.057,5
0:0:53.157,3
0:0:53.354,4
0:0:53.452,2
0:0:53.551,5
0:0:53.749,2
0:0:53.848,5
0:0:53.947,3
0:0:54.144,4
0:0:54.243,2
0:0:54.342,5
0:0:54.539,2R5
0:0:54.738,5
0:0:54.935,1U4
0:0:55.133,4
0:0:55.331,1+4+
0:0:55.725,2-5-
0:0:55.921,2
0:0:56.119,2R5
0:0:56.316,5
0:0:56.514,1U4
0:0:56.711,4
0:0:56.909,1+4+
0:0:57.305,2-5-
0:0:57.502,5
0:0:57.601,3
0:0:57.699,6+
0:0:57.897,2
0:0:58.102,36-
0:0:58.281,4
0:0:58.474,25
0:0:58.671,4
0:0:58.869,3
0:0:59.067,2+6
0:0:59.264,5
0:0:59.462,2-4
0:0:59.659,1
0:0:59.758,4
0:0:59.857,1
0:0:59.956,4
0:1:0.054,2
0:1:0.152,5
0:1:0.251,2
0:1:0.350,5
0:1:0.448,2
0:1:0.645,16+
0:1:0.842,2
0:1:1.039,6-3
0:1:1.236,5
0:1:1.434,2+4
0:1:1.632,5
0:1:1.829,2-6
0:1:2.027,3
0:1:2.225,14+
0:1:2.422,2
0:1:2.619,1+4-
0:1:2.816,5
0:1:3.014,1-6+
0:1:3.213,2
0:1:3.409,6-3+
0:1:3.606,3-5
0:1:3.803,2
0:1:3.901,4
0:1:4.001,2+
0:1:4.198,4
0:1:4.396,1-4
0:1:4.594,5+
0:1:4.792,2
0:1:4.990,6-2
0:1:5.187,3
0:1:5.385,4
0:1:5.582,5
0:1:5.680,2
0:1:5.778,4
0:1:5.976,3
0:1:6.075,5
0:1:6.174,2
0:1:6.372,5
0:1:6.470,2
0:1:6.568,4
0:1:6.766,3
0:1:6.865,5
0:1:6.964,2
0:1:7.163,26R
0:1:7.360,2
0:1:7.557,1L6R
0:1:7.756,2
0:1:7.953,53
0:1:8.150,4
0:1:8.348,25+
0:1:8.546,5-
0:1:8.743,15+
0:1:8.935,2+6-
0:1:9.131,3-5+
0:1:9.329,1+6-
0:1:9.529,2-4+
0:1:9.740,2
0:1:9.938,6-3
0:1:10.135,5
0:1:10.234,2
0:1:10.333,4
0:1:10.531,3
0:1:10.629,5
0:1:10.728,2+
0:1:10.905,6
0:1:11.104,1-6
0:1:11.301,2+
0:1:11.506,2-5+
0:1:11.713,1+5-
0:1:11.911,61-
0:1:12.109,3+
0:1:12.175,6+
0:1:12.240,3-
0:1:12.305,6-
0:1:12.404,2
0:1:12.511,5
0:1:12.618,1
0:1:12.701,4
0:1:12.799,2
0:1:12.899,5
0:1:12.998,3
0:1:13.096,6
0:1:13.293,2
0:1:13.392,4
0:1:13.486,1+
0:1:13.674,1-6+
0:1:13.884,2+6-
0:1:14.081,2-5
0:1:14.279,16
0:1:14.493,5
0:1:14.592,2
0:1:14.691,6+
0:1:14.889,16-
0:1:15.110,25
0:1:15.266,4
0:1:15.365,3
0:1:15.465,5+
0:1:15.662,25-
0:1:15.847,6
0:1:15.956,1
0:1:16.056,5
0:1:16.170,2
0:1:16.268,4
0:1:16.466,3
0:1:16.565,5
0:1:16.665,2U
0:1:16.862,4
0:1:16.943,2
0:1:17.043,4
0:1:17.240,25
0:1:17.438,16U
0:1:17.635,2
0:1:17.734,5
0:1:17.832,1+
0:1:18.030,1-6
0:1:18.229,25
0:1:18.426,3
0:1:18.525,4
0:1:18.624,2+
0:1:18.818,2-5
0:1:19.016,1
0:1:19.115,6
0:1:19.214,2
0:1:19.314,5
0:1:19.412,3
0:1:19.610,4
0:1:19.709,2
0:1:19.808,5R
0:1:20.016,4
0:1:20.103,2
0:1:20.202,4
0:1:20.401,25
0:1:20.601,1L6
0:1:20.796,5
0:1:20.895,2
0:1:20.993,6+
0:1:21.191,16-
0:1:21.389,25
0:1:21.585,4
0:1:21.685,3
0:1:21.784,5+
0:1:21.982,25-
0:1:22.179,6
0:1:22.278,1
0:1:22.376,5
0:1:22.477,2
0:1:22.574,4
0:1:22.767,3
0:1:22.865,5
0:1:22.964,2L
0:1:23.161,4
0:1:23.259,2
0:1:23.359,4
0:1:23.556,25
0:1:23.753,61L
0:1:23.951,3
0:1:24.049,5
0:1:24.148,3
0:1:24.347,25
0:1:24.543,61
0:1:24.741,25
0:1:24.939,3
0:1:25.037,4
0:1:25.129,2
0:1:25.326,1L6R
0:1:25.524,5
0:1:25.622,2
0:1:25.722,4
0:1:25.920,1+6+
0:1:27.303,2=
0:1:28.686,1-6-
0:1:29.080,6R
0:1:29.870,1L
0:1:30.663,2R
0:1:32.242,2+5+
0:1:33.230,1-6-
0:1:33.818,6+1+
0:1:34.795,2-5-
0:1:35.387,4
0:1:35.486,3
0:1:35.584,6
0:1:35.684,1
0:1:35.782,4
0:1:35.881,3
0:1:35.981,6
0:1:36.079,1
0:1:36.178,4
0:1:36.277,3
0:1:36.376,6
0:1:36.474,1
0:1:36.573,4
0:1:36.673,3
0:1:36.771,6
0:1:36.876,1
0:1:36.969,5
0:1:37.166,2U5U
0:1:38.536,1!
0:1:45.056,2R5
0:1:45.241,5
0:1:45.448,1L6
0:1:45.628,6
0:1:45.843,1+4+
0:1:46.240,2-5-
0:1:46.428,5
0:1:46.621,2U6
0:1:46.831,6
0:1:47.032,1U5
0:1:47.217,5
0:1:47.417,1+5U
0:1:47.811,2-6U
0:1:48.003,2
0:1:48.109,4
0:1:48.215,1+
0:1:48.416,51-
0:1:48.612,1+4
0:1:48.810,1-5
0:1:49.007,6+
0:1:49.188,26-
0:1:49.385,36+
0:1:49.583,26-
0:1:49.781,2+
0:1:49.979,2-5
0:1:50.172,1
0:1:50.271,6
0:1:50.370,2
0:1:50.469,5
0:1:50.568,3
0:1:50.666,4
0:1:50.765,2
0:1:50.859,5
0:1:50.963,1
0:1:51.160,16+
0:1:51.357,2
0:1:51.555,6-3
0:1:51.752,5
0:1:51.951,2+4
0:1:52.148,5
0:1:52.329,2-6
0:1:52.527,3
0:1:52.731,14+
0:1:52.938,2
0:1:53.119,1+4-
0:1:53.317,5
0:1:53.523,1-6+
0:1:53.726,2
0:1:53.919,6-3+
0:1:54.112,3-5
0:1:54.305,2
0:1:54.404,5
0:1:54.502,2+
0:1:54.700,5
0:1:54.898,1-4
0:1:55.111,15+
0:1:55.293,2
0:1:55.508,6-3
0:1:55.702,2
0:1:55.787,5
0:1:55.885,3
0:1:56.083,5
0:1:56.182,2
0:1:56.281,4
0:1:56.479,3
0:1:56.587,5
0:1:56.693,2
0:1:56.886,5
0:1:56.972,2
0:1:57.071,4
0:1:57.285,3
0:1:57.368,5
0:1:57.477,2
0:1:57.681,26R
0:1:57.879,2
0:1:58.076,1L6R
0:1:58.274,2
0:1:58.472,35
0:1:58.669,4
0:1:58.859,25+
0:1:59.048,5-
0:1:59.246,2R4
0:1:59.443,5
0:1:59.641,2R6
0:1:59.838,5
0:2:0.023,2+4
0:2:0.227,5
0:2:0.429,3-6
0:2:0.627,5
0:2:0.725,2
0:2:0.824,4
0:2:1.022,3
0:2:1.121,5
0:2:1.219,2+
0:2:1.417,6
0:2:1.615,1-6
0:2:1.803,2+5
0:2:1.993,2-4+
0:2:2.191,1+4-
0:2:2.388,1-5
0:2:2.586,2
0:2:2.684,5
0:2:2.784,3
0:2:2.882,4
0:2:2.982,1
0:2:3.081,6
0:2:3.179,3
0:2:3.279,4
0:2:3.377,1
0:2:3.476,6
0:2:3.575,3
0:2:3.788,2
0:2:3.887,4
0:2:3.986,1+
0:2:4.184,5
0:2:4.382,1-6
0:2:4.579,5+
0:2:4.777,2
0:2:4.974,15-
0:2:5.172,62+
0:2:5.567,5+
0:2:5.765,5-
0:2:5.963,4
0:2:6.161,5
0:2:6.359,6+
0:2:6.555,6-
0:2:6.754,61-
0:2:6.951,2
0:2:7.049,5
0:2:7.165,3
0:2:7.347,4
0:2:7.446,2
0:2:7.558,5+
0:2:7.759,25-
0:2:7.956,36
0:2:8.153,2
0:2:8.252,5
0:2:8.351,1+
0:2:8.566,1-6
0:2:8.762,25
0:2:8.961,3
0:2:9.060,4
0:2:9.158,2+
0:2:9.356,2-5
0:2:9.554,36
0:2:9.748,25
0:2:9.945,14
0:2:10.143,5
0:2:10.241,3
0:2:10.341,6+
0:2:10.534,2
0:2:10.732,16-
0:2:10.929,2
0:2:11.127,53
0:2:11.326,24
0:2:11.522,15+
0:2:11.916,2+
0:2:12.115,2-
0:2:12.310,3
0:2:12.507,2
0:2:12.704,16-
0:2:12.902,4
0:2:13.099,3
0:2:13.199,5
0:2:13.298,2
0:2:13.397,4
0:2:13.496,1L
0:2:13.693,4
0:2:13.890,3
0:2:13.990,5
0:2:14.088,2
0:2:14.187,4
0:2:14.286,1L
0:2:14.484,4
0:2:14.671,5
0:2:14.761,2
0:2:14.860,6
0:2:14.959,3
0:2:15.058,6U
0:2:15.157,2
0:2:15.255,5
0:2:15.354,3
0:2:15.453,4
0:2:15.551,2
0:2:15.651,5
0:2:15.749,1
0:2:15.849,6+
0:2:16.046,1+6-
0:2:16.243,61-
0:2:16.441,1R6L
