00:00.415,63+
01:03.210,1L
01:03.560,25
01:03.735,1
01:03.821,4
01:03.908,1L
01:04.257,25
01:04.433,1
01:04.519,4
01:04.607,1U
01:04.955,34
01:05.129,2
01:05.217,5
01:05.304,2
01:05.479,3
01:05.653,4
01:05.828,5
01:06.002,6+2
01:06.351,16-
01:06.525,5
01:06.612,2
01:06.699,5
01:06.874,4
01:07.048,3
01:07.223,2+
01:07.398,6
01:07.745,6
01:07.919,2-5
01:08.007,3
01:08.094,5
01:08.269,2
01:08.444,4
01:08.616,3
01:08.791,2+5
01:09.140,2-4
01:09.315,5
01:09.402,2
01:09.490,6+
01:09.664,3
01:09.839,6-2
01:10.013,1+
01:10.188,5
01:10.536,6
01:10.710,1-5
01:10.798,2
01:10.885,5
01:11.060,3
01:11.234,4
01:11.409,2
01:11.583,2U5U
01:11.932,5
01:12.107,2
01:12.194,4
01:12.281,3
01:12.455,5
01:12.629,2
01:12.803,2L5R
01:12.978,6
01:13.153,3
01:13.327,5
01:13.502,25
01:13.851,3
01:14.025,4
01:14.200,5
01:14.374,16R
01:14.723,25
01:14.896,6
01:14.984,3
01:15.072,6R
01:15.420,25
01:15.594,6
01:15.682,3
01:15.770,6U
01:16.118,34
01:16.293,5
01:16.380,2
01:16.467,5
01:16.642,3
01:16.816,4
01:16.991,5
01:17.165,6+2
01:17.514,16-
01:17.688,2
01:17.775,5
01:17.862,2
01:18.037,3
01:18.211,4
01:18.386,5+
01:18.561,1
01:18.908,1
01:19.083,25-
01:19.170,4
01:19.257,2
01:19.432,5
01:19.606,4
01:19.782,3
01:19.955,25
01:20.130,4
01:20.305,3
01:20.479,2
01:20.566,5
01:20.653,3
01:20.827,4
01:21.002,5
01:21.176,1U6U
01:21.351,2
01:21.525,3
01:21.700,4
01:21.875,5
01:21.963,3
01:22.049,5
01:22.223,2
01:22.398,3
01:22.572,4
01:22.746,5+
01:22.921,1
01:23.096,15-
01:23.269,5
01:23.357,2
01:23.444,4
01:23.619,3
01:23.793,2
01:23.969,1U6U
01:24.143,5
01:24.317,4
01:24.491,3
01:24.666,2
01:24.753,4
01:24.839,2
01:25.015,5
01:25.189,4
01:25.363,3
01:25.538,2+
01:25.712,4
01:25.887,1-4
01:26.061,2
01:26.148,5
01:26.235,3
01:26.410,4
01:26.584,25
01:26.759,2
01:26.933,5+
01:27.107,3
01:27.281,6-3
01:27.456,5
01:27.543,2
01:27.630,4
01:27.805,3
01:27.980,25
01:28.327,1+
01:28.503,4
01:28.678,1-4
01:28.852,5
01:28.938,2
01:29.025,6+
01:29.201,3
01:29.375,6-3
01:29.724,25
01:29.898,3
01:30.072,4
01:30.247,5
01:30.334,2
01:30.421,4
01:30.596,3
01:30.683,5R
01:30.770,2
01:30.945,5
01:31.119,2+
01:31.294,4
01:31.469,1-4
01:31.643,2
01:31.729,5
01:31.817,3
01:31.992,4
01:32.166,25
01:32.340,2
01:32.515,5+
01:32.690,3
01:32.864,6-3
01:33.038,5
01:33.126,2
01:33.212,4
01:33.388,3
01:33.561,25
01:33.910,6+
01:34.085,3
01:34.259,6-3
01:34.433,2
01:34.521,5
01:34.608,1+
01:34.782,4
01:34.957,1-4
01:35.305,25
01:35.479,4
01:35.654,3
01:35.829,2
01:35.916,5
01:36.003,3
01:36.177,4
01:36.352,25
01:36.525,34
01:36.700,2+5+
01:37.049,2-5-
01:37.223,1L6R
01:37.573,34
01:37.747,25
01:37.922,25
01:38.096,1U6U
01:39.475,(3.5)
01:45.062,1U
01:45.414,2U
01:45.763,3U
01:46.112,4U
01:46.460,5U
01:46.809,6U
01:47.157,5U
01:47.505,4U
01:47.856,3U
01:48.205,2U
01:48.554,1U
01:48.902,2U
01:49.250,3U
01:49.601,4
01:49.949,5
01:50.298,6
01:50.472,2
01:50.560,4
01:50.647,1
01:50.821,2
01:50.995,3
01:51.170,4
01:51.258,2
01:51.345,5
01:51.519,16
01:51.693,25
01:52.042,63
01:52.216,5
01:52.391,4
01:52.565,3
01:52.652,5
01:52.740,2
01:52.915,16
01:53.088,25
01:53.438,16
01:53.612,2
01:53.786,3
01:53.961,4
01:54.049,2
01:54.135,5
01:54.309,34
01:54.484,25
01:54.659,1
01:54.833,16
01:55.007,5
01:55.182,4
01:55.356,3
01:55.443,5
01:55.530,2
01:55.705,34
01:55.880,25
01:56.229,6
01:56.316,3
01:56.402,6
01:56.490,3
01:56.577,5
01:56.664,2
01:56.752,5
01:56.839,2
01:56.926,4+
01:57.013,1+
01:57.100,4-
01:57.187,1-
01:57.274,5+
01:57.362,2+
01:57.450,5-
01:57.536,2-
01:57.623,6
01:57.798,16
01:57.973,25
01:58.146,34
01:58.321,25
01:58.495,16
01:58.670,5
01:58.757,2
01:58.844,5
01:58.931,2
01:59.019,5U
