00:03.569,1L2L
00:53.209,2+
00:53.481,12-
00:53.663,2
00:53.755,1
00:53.935,2
00:54.299,12
00:54.481,12
00:54.753,12
00:55.390,2L
00:55.663,1
00:55.935,1R
00:56.208,2
00:56.481,2L
00:56.754,1
00:57.026,1R
00:57.209,2
00:57.480,1+2+
00:58.572,1-2-
00:58.936,1R
00:59.753,12
01:00.208,12
01:00.572,12
01:00.845,12
01:01.298,12
01:01.663,12
01:01.936,12
01:02.390,12
01:02.754,12
01:03.026,12
01:03.481,12
01:03.845,12
01:04.391,1
01:04.663,1
01:04.935,1
01:05.209,2+
01:05.481,12-
01:05.664,2
01:06.572,2
01:06.845,2
01:07.118,2
01:07.300,1
01:07.391,2+
01:07.663,12-
01:07.845,2
01:08.754,1
01:09.027,1
01:09.300,1
01:09.572,2
01:09.754,1+
01:10.027,21-
01:10.573,2
01:10.663,1+
01:10.936,1-2
01:11.118,1
01:11.209,2+
01:11.482,12-
01:11.754,12
01:11.936,12
01:12.209,1L2R
01:13.118,1
01:13.391,1
01:13.664,1
01:13.936,2
01:14.118,1
01:14.210,2
01:14.391,1+
01:14.755,1-2
01:15.027,2
01:15.301,2
01:15.482,1
01:15.572,2
01:15.846,2
01:16.118,1
01:16.300,2+
01:16.573,12-
01:17.482,1
01:17.755,1
01:18.028,1
01:18.301,2+
01:18.573,12-
01:18.755,2
01:19.392,1L2R
01:20.483,12
01:20.664,12
01:20.937,1L2R
01:21.573,12
01:21.755,12
01:22.027,1U2
01:22.937,2R1L
01:23.482,2
01:23.664,1
01:23.755,2
01:23.937,1
01:24.210,12
01:24.755,2
01:24.847,1+
01:25.119,1-2+
01:25.392,1+2-
01:25.664,1-2
01:25.937,2
01:26.119,1
01:26.392,12
01:27.301,1+
01:27.574,1-2+
01:27.847,1+2-
01:28.119,1-2+
01:28.392,2-1
01:28.665,2
01:28.937,1
01:29.211,1+2+
01:31.119,1-2-
01:31.574,1
01:31.755,1
01:31.938,1
01:32.119,2
01:32.301,2
01:32.483,1U2U
01:33.574,1+
01:33.847,1-2
01:34.029,1
01:34.120,2
01:34.301,1
01:35.210,2+
01:35.483,12-
01:35.756,2+
01:36.029,12-
01:36.210,2
01:36.301,1
01:36.483,2
01:36.847,1
01:37.029,2
01:37.120,1
01:37.301,2
01:37.574,12
01:37.938,1
01:38.211,2
01:38.483,1
01:38.757,2
01:39.029,2
01:39.301,1
01:39.574,2
01:39.847,1
01:40.120,1U2
01:40.665,1U2
01:41.120,1U2
01:41.757,1+
01:42.029,1-2
01:42.301,1
01:42.484,2
01:42.575,1
01:42.757,2
01:42.848,1
01:43.029,2
01:43.938,2+
01:44.211,12-
01:44.484,2
01:44.666,1
01:44.757,2
01:44.938,1
01:45.030,2
01:45.211,1
01:45.574,12
01:45.757,12
01:46.029,12
01:46.666,1
01:46.939,2
01:47.210,1
01:47.484,2
01:47.757,2
01:48.029,1
01:48.302,2
01:48.575,1
01:48.847,1L2
01:49.392,12R
01:49.847,1U2
01:51.302,(1.5)
01:55.393,2L
01:55.666,1
01:55.939,1R
01:56.212,2
01:56.484,2L
01:56.757,1
01:57.029,1R
01:57.211,2
01:57.484,1+2+
01:58.575,1-2-
01:58.938,1R
01:59.757,2
01:59.939,1
02:00.030,2
02:00.211,1
02:00.303,2
02:00.484,1
02:00.758,2
02:00.848,1
02:01.029,2
02:01.120,1
02:01.303,12
02:01.939,1
02:02.120,2
02:02.212,1
02:02.394,2
02:02.484,1
02:02.667,2
02:02.939,12
02:03.211,12
02:03.485,1R2
02:04.121,2
02:04.302,1
02:04.393,2
02:04.575,1
02:04.666,2
02:04.849,1
02:05.121,2
02:05.211,1
02:05.393,2
02:05.485,1
02:05.667,12
02:06.485,1
02:06.667,1
02:06.849,1
02:07.030,2
02:07.212,2
02:07.394,1U2U
