0:0:0.625,6R1L
0:0:22.557,5
0:0:22.754,3+
0:0:22.952,6
0:0:23.150,2-5
0:0:23.348,4
0:0:23.545,2+
0:0:23.750,5
0:0:23.957,1-4
0:0:24.155,2
0:0:24.332,4+
0:0:24.529,1
0:0:24.727,25-
0:0:24.915,3+6
0:0:25.112,3-5+
0:0:25.310,25-
0:0:25.508,4
0:0:25.705,3
0:0:25.901,2
0:0:26.099,15
0:0:26.297,4+
0:0:26.495,2
0:0:26.692,1+4-
0:0:26.889,5
0:0:27.086,1-6+
0:0:27.284,2
0:0:27.481,3+6-
0:0:27.679,5
0:0:27.870,3-5
0:0:28.053,26+
0:0:28.242,1+6-
0:0:28.443,1-5
0:0:28.646,2
0:0:28.845,35
0:0:29.055,6+
0:0:29.267,1
0:0:29.477,26-
0:0:29.665,6
0:0:29.862,2U6U
0:0:30.060,2L6R
0:0:30.257,5
0:0:30.455,24
0:0:30.639,1+
0:0:30.817,6
0:0:31.014,1-5
0:0:31.212,1
0:0:31.410,1U5U
0:0:31.607,1L5R
0:0:31.805,4
0:0:32.003,2
0:0:32.200,4+
0:0:32.398,1
0:0:32.595,24-
0:0:32.793,35
0:0:32.991,6+
0:0:33.188,2
0:0:33.386,1+6-
0:0:33.583,1-5
0:0:33.781,4L
0:0:33.979,14
0:0:34.176,15
0:0:34.375,62
0:0:34.572,63
0:0:34.769,5
0:0:34.869,2
0:0:34.966,4
0:0:35.173,2
0:0:35.250,5
0:0:35.367,3R
0:0:35.781,25
0:0:35.979,16
0:0:36.176,2
0:0:36.242,5
0:0:36.308,2
0:0:36.374,5+
0:0:36.571,35-
0:0:36.768,24
0:0:36.967,1U5U
0:0:37.362,2
0:0:37.560,61
0:0:37.757,5
0:0:37.955,4
0:0:38.152,3
0:0:38.349,52
0:0:38.548,1L4L
0:0:38.943,3
0:0:39.140,4
0:0:39.273,5+
0:0:39.338,2+
0:0:39.404,5-
0:0:39.470,2-
0:0:39.536,4+
0:0:39.731,1+4-
0:0:39.921,51-
0:0:40.120,26R
0:0:40.515,1+
0:0:40.713,1-5+
0:0:40.891,2R5-
0:0:41.078,63
0:0:41.467,3
0:0:41.566,5
0:0:41.665,3
0:0:41.764,5
0:0:41.862,2+
0:0:42.060,1-5
0:0:42.258,4+
0:0:42.455,24-
0:0:42.521,5
0:0:42.587,2
0:0:42.652,5
0:0:42.851,3
0:0:43.048,4
0:0:43.147,2
0:0:43.245,5+
0:0:43.444,1
0:0:43.641,6-2
0:0:43.840,3+
0:0:44.067,5
0:0:44.265,3-5
0:0:44.462,4
0:0:44.660,63
0:0:44.857,2
0:0:44.956,5
0:0:45.054,2
0:0:45.154,5
0:0:45.252,1
0:0:45.351,6
0:0:45.449,1
0:0:45.549,6
0:0:45.648,2
0:0:45.746,5
0:0:45.826,3
0:0:45.942,4
0:0:46.041,2
0:0:46.139,5
0:0:46.239,1
0:0:46.435,2+4
0:0:46.634,5
0:0:46.831,2-6+
0:0:47.227,6-2+
0:0:47.414,2-5
0:0:47.604,2+5+
0:0:47.794,1-6-
0:0:47.999,61+
0:0:48.197,5
0:0:48.395,1-4
0:0:48.593,2
0:0:48.791,15+
0:0:48.988,2
0:0:49.186,5-3
0:0:49.383,4
0:0:49.581,3+6
0:0:49.779,5
0:0:49.990,6+3-
0:0:50.191,2
0:0:50.389,1+6-
0:0:50.586,5
0:0:50.774,1-4+
0:0:50.981,24-
0:0:51.179,5
0:0:51.278,3
0:0:51.377,6+
0:0:51.575,6-2+
0:0:51.773,2-5+
0:0:51.970,15-
0:0:52.168,24
0:0:52.365,3
0:0:52.554,4
0:0:52.761,5
0:0:52.958,2
0:0:53.057,5
0:0:53.157,3
0:0:53.354,4
0:0:53.452,2
0:0:53.551,5
0:0:53.749,2
0:0:53.848,5
0:0:53.947,3
0:0:54.144,4
0:0:54.243,2
0:0:54.342,5
0:0:54.539,2R5
0:0:54.738,5
0:0:54.935,1U4
0:0:55.133,4
0:0:55.331,1+4+
0:0:55.725,2-5-
0:0:55.921,2
0:0:56.119,2R5
0:0:56.316,5
0:0:56.514,1U4
0:0:56.711,4
0:0:56.909,1+4+
0:0:57.305,2-5-
0:0:57.502,5
0:0:57.601,3
0:0:57.689,6+
0:0:57.897,2
0:0:58.102,36-
0:0:58.281,4
0:0:58.474,25
0:0:58.671,4
0:0:58.869,3
0:0:59.067,2+6
0:0:59.264,5
0:0:59.462,2-4
0:0:59.659,1
0:0:59.758,4
0:0:59.857,1
0:0:59.956,4
0:1:0.054,2
0:1:0.152,5
0:1:0.251,2
0:1:0.350,5
0:1:0.448,2
0:1:0.645,16+
0:1:0.842,2
0:1:1.039,6-3
0:1:1.236,5
0:1:1.434,2+4
0:1:1.632,5
0:1:1.829,2-6
0:1:2.027,3
0:1:2.225,14+
0:1:2.422,2
0:1:2.619,1+4-
0:1:2.816,5
0:1:3.014,1-6+
0:1:3.213,2
0:1:3.409,6-3+
0:1:3.606,3-5
0:1:3.803,2
0:1:3.901,4
0:1:4.001,2+
0:1:4.198,4
0:1:4.396,1-4
0:1:4.594,5+
0:1:4.792,2
0:1:4.990,6-2
0:1:5.187,3
0:1:5.385,4
0:1:5.582,5
0:1:5.680,2
0:1:5.778,4
0:1:5.976,3
0:1:6.075,5
0:1:6.174,2
0:1:6.372,5
0:1:6.470,2
0:1:6.568,4
0:1:6.766,3
0:1:6.865,5
0:1:6.964,2
0:1:7.163,26R
0:1:7.360,2
0:1:7.557,1L6R
0:1:7.756,2
0:1:7.943,53
0:1:8.150,4
0:1:8.348,25+
0:1:8.546,5-
0:1:8.723,15+
0:1:8.915,2+6-
0:1:9.111,3-5+
0:1:9.309,1+6-
0:1:9.509,2-4+
0:1:9.720,2
0:1:9.918,6-3
0:1:10.115,5
0:1:10.214,2
0:1:10.313,4
0:1:10.511,3
0:1:10.609,5
0:1:10.708,2+
0:1:10.885,6
0:1:11.084,1-6
0:1:11.281,2+
0:1:11.486,2-5+
0:1:11.693,1+5-
0:1:11.891,61-
0:1:12.089,3+
0:1:12.155,6+
0:1:12.220,3-
0:1:12.285,6-
0:1:12.384,2
0:1:12.491,5
0:1:12.598,1
0:1:12.681,4
0:1:12.779,2
0:1:12.879,5
0:1:12.978,3
0:1:13.076,6
0:1:13.273,2
0:1:13.372,4
0:1:13.466,1+
0:1:13.654,1-6+
0:1:13.864,2+6-
0:1:14.061,2-5
0:1:14.259,16
0:1:14.473,5
0:1:14.572,2
0:1:14.671,6+
0:1:14.869,16-
0:1:15.090,25
0:1:15.246,4
0:1:15.365,3
0:1:15.445,5+
0:1:15.642,25-
0:1:15.827,6
0:1:15.936,1
0:1:16.036,5
0:1:16.150,2
0:1:16.248,4
0:1:16.446,3
0:1:16.545,5
0:1:16.645,2U
0:1:16.842,4
0:1:16.923,2
0:1:17.023,4
0:1:17.220,25
0:1:17.418,16U
0:1:17.615,2
0:1:17.714,5
0:1:17.812,1+
0:1:18.010,1-6
0:1:18.209,25
0:1:18.406,3
0:1:18.505,4
0:1:18.604,2+
0:1:18.798,2-5
0:1:18.996,1
0:1:19.095,6
0:1:19.194,2
0:1:19.294,5
0:1:19.392,3
0:1:19.590,4
0:1:19.689,2
0:1:19.788,5R
0:1:19.996,4
0:1:20.083,2
0:1:20.182,4
0:1:20.381,25
0:1:20.581,1L6
0:1:20.776,5
0:1:20.875,2
0:1:20.973,6+
0:1:21.171,16-
0:1:21.369,25
0:1:21.565,4
0:1:21.665,3
0:1:21.764,5+
0:1:21.962,25-
0:1:22.159,6
0:1:22.258,1
0:1:22.356,5
0:1:22.457,2
0:1:22.554,4
0:1:22.747,3
0:1:22.845,5
0:1:22.944,2L
0:1:23.141,4
0:1:23.239,2
0:1:23.339,4
0:1:23.536,25
0:1:23.733,61L
0:1:23.931,3
0:1:24.029,5
0:1:24.128,3
0:1:24.327,25
0:1:24.513,61
0:1:24.721,25
0:1:24.919,3
0:1:25.017,4
0:1:25.109,2
0:1:25.306,1L6R
0:1:25.504,5
0:1:25.602,2
0:1:25.702,4
0:1:25.920,1+6+
0:1:27.303,2=
0:1:28.686,1-6-
0:1:29.080,6R
0:1:29.870,1L
0:1:30.663,2R
0:1:32.222,2+5+
0:1:33.210,1-6-
0:1:33.798,6+1+
0:1:34.775,2-5-
0:1:35.387,4
0:1:35.486,3
0:1:35.584,6
0:1:35.684,1
0:1:35.782,4
0:1:35.881,3
0:1:35.981,6
0:1:36.079,1
0:1:36.178,4
0:1:36.277,3
0:1:36.376,6
0:1:36.474,1
0:1:36.573,4
0:1:36.673,3
0:1:36.771,6
0:1:36.876,1
0:1:36.969,5
0:1:37.166,2U5U
0:1:38.536,(3.5)
0:1:45.056,2R5
0:1:45.241,5
0:1:45.448,1L6
0:1:45.628,6
0:1:45.853,1+4+
0:1:46.240,2-5-
0:1:46.428,5
0:1:46.621,2U6
0:1:46.831,6
0:1:47.032,1U5
0:1:47.217,5
0:1:47.417,1+5U
0:1:47.811,2-6U
0:1:48.003,2
0:1:48.109,4
0:1:48.215,1+
0:1:48.416,51-
0:1:48.612,1+4
0:1:48.810,1-5
0:1:49.007,6+
0:1:49.188,26-
0:1:49.385,36+
0:1:49.583,26-
0:1:49.781,2+
0:1:49.979,2-5
0:1:50.172,1
0:1:50.271,6
0:1:50.370,2
0:1:50.469,5
0:1:50.568,3
0:1:50.666,4
0:1:50.765,2
0:1:50.859,5
0:1:50.963,1
0:1:51.180,16+
0:1:51.377,2
0:1:51.575,6-3
0:1:51.772,5
0:1:51.971,2+4
0:1:52.168,5
0:1:52.349,2-6
0:1:52.547,3
0:1:52.751,14+
0:1:52.958,2
0:1:53.139,1+4-
0:1:53.337,5
0:1:53.543,1-6+
0:1:53.746,2
0:1:53.939,6-3+
0:1:54.132,3-5
0:1:54.325,2
0:1:54.424,5
0:1:54.512,2+
0:1:54.710,5
0:1:54.908,1-4
0:1:55.121,15+
0:1:55.303,2
0:1:55.518,6-3
0:1:55.712,2
0:1:55.797,5
0:1:55.895,3
0:1:56.093,5
0:1:56.192,2
0:1:56.291,4
0:1:56.489,3
0:1:56.597,5
0:1:56.703,2
0:1:56.896,5
0:1:56.982,2
0:1:57.081,4
0:1:57.295,3
0:1:57.378,5
0:1:57.487,2
0:1:57.681,26R
0:1:57.879,2
0:1:58.076,1L6R
0:1:58.274,2
0:1:58.472,35
0:1:58.669,4
0:1:58.859,25+
0:1:59.048,5-
0:1:59.246,2R4
0:1:59.443,5
0:1:59.641,2R6
0:1:59.838,5
0:2:0.023,2+4
0:2:0.227,5
0:2:0.429,3-6
0:2:0.627,5
0:2:0.725,2
0:2:0.824,4
0:2:1.022,3
0:2:1.121,5
0:2:1.229,2+
0:2:1.427,6
0:2:1.625,1-6
0:2:1.813,2+5
0:2:2.003,2-4+
0:2:2.201,1+4-
0:2:2.398,1-5
0:2:2.596,2
0:2:2.694,5
0:2:2.794,3
0:2:2.892,4
0:2:2.992,1
0:2:3.091,6
0:2:3.189,3
0:2:3.289,4
0:2:3.387,1
0:2:3.486,6
0:2:3.585,3
0:2:3.788,2
0:2:3.887,4
0:2:3.986,1+
0:2:4.184,5
0:2:4.382,1-6
0:2:4.579,5+
0:2:4.777,2
0:2:4.974,15-
0:2:5.172,62+
0:2:5.567,5+
0:2:5.765,5-
0:2:5.963,4
0:2:6.161,5
0:2:6.359,6+
0:2:6.555,6-
0:2:6.754,61-
0:2:6.951,2
0:2:7.049,5
0:2:7.165,3
0:2:7.347,4
0:2:7.446,2
0:2:7.558,5+
0:2:7.759,25-
0:2:7.946,36
0:2:8.143,2
0:2:8.242,5
0:2:8.331,1+
0:2:8.546,1-6
0:2:8.752,25
0:2:8.951,3
0:2:9.050,4
0:2:9.148,2+
0:2:9.346,2-5
0:2:9.544,36
0:2:9.738,25
0:2:9.935,14
0:2:10.133,5
0:2:10.231,3
0:2:10.331,6+
0:2:10.524,2
0:2:10.702,16-
0:2:10.919,2
0:2:11.117,53
0:2:11.316,24
0:2:11.512,15+
0:2:11.906,2+
0:2:12.105,2-
0:2:12.300,3
0:2:12.497,2
0:2:12.694,16-
0:2:12.892,4
0:2:13.089,3
0:2:13.189,5
0:2:13.288,2
0:2:13.387,4
0:2:13.486,1L
0:2:13.683,4
0:2:13.880,3
0:2:13.980,5
0:2:14.078,2
0:2:14.177,4
0:2:14.276,1L
0:2:14.474,4
0:2:14.661,5
0:2:14.751,2
0:2:14.850,6
0:2:14.949,3
0:2:15.048,6U
0:2:15.147,2
0:2:15.245,5
0:2:15.344,3
0:2:15.443,4
0:2:15.541,2
0:2:15.641,5
0:2:15.739,1
0:2:15.839,6+
0:2:16.036,1+6-
0:2:16.233,61-
0:2:16.431,1R6L
