00:06.342,1R2R
01:04.609,2+
01:04.766,2-
01:05.082,2+
01:05.241,2-
01:05.556,1U2U
01:05.871,12
01:06.029,12
01:06.819,2+
01:07.135,1
01:07.293,12-
01:07.608,1R
01:07.767,2R
01:08.082,1+
01:08.399,2
01:08.556,21-
01:08.872,2L
01:09.030,1L
01:09.345,2+
01:09.661,12-
01:09.819,2
01:09.977,1
01:10.135,2
01:10.293,1+
01:10.608,1L2R
01:11.240,2
01:11.399,1
01:11.556,2
01:11.872,1+
01:12.188,2
01:12.346,1-2
01:12.662,2L
01:12.820,1L
01:13.135,2+
01:13.451,1
01:13.609,12-
01:13.925,1R
01:14.083,2R
01:14.399,1+
01:14.714,2
01:14.872,2
01:15.188,2
01:15.346,1-2
01:15.661,1L2R
01:16.293,12
01:16.608,12
01:16.925,2+
01:17.240,2L
01:17.398,1L
01:17.715,1
01:17.872,2
01:18.188,1+
01:18.504,1R
01:18.661,2R
01:18.978,2
01:19.135,1
01:19.451,2+
01:19.767,1
01:19.924,1
01:20.240,1
01:20.398,1
01:20.715,12-
01:21.503,2
01:21.661,12
01:21.978,1+
01:22.294,2
01:22.450,2
01:22.767,2
01:22.925,1-2
01:23.240,2+
01:23.557,1
01:23.714,1
01:24.030,1
01:24.188,12-
01:24.504,1+
01:24.819,2
01:24.978,2+
01:25.293,2-
01:25.609,2
01:25.924,1-2
01:27.014,(1.5)
01:37.137,1L2R
01:38.399,1R2L
01:39.662,1L2R
01:40.926,1U2U
01:41.558,1
01:41.716,2
01:41.874,1
01:42.189,1+2+
01:42.663,1-2-
01:42.821,1
01:42.978,2
01:43.136,1
01:43.294,2
01:43.453,1
01:43.610,2
01:43.768,1
01:43.926,2
01:44.084,1
01:44.242,2
01:44.400,1
01:44.558,2
01:44.715,1L
01:45.032,12
01:45.189,12
01:45.505,12
01:45.663,12
01:45.978,2+
01:46.294,1+
01:46.452,1-
01:46.768,1+
01:46.926,1-
01:47.242,1U2U
01:47.558,12
01:47.715,12
01:48.506,2+
01:48.821,1
01:48.979,12-
01:49.294,1R
01:49.453,2R
01:49.769,1+
01:50.085,2
01:50.243,1-2
01:50.558,2L
01:50.716,1L
01:51.031,2+
01:51.347,12-
01:51.505,2
01:51.664,1
01:51.821,2
01:51.979,1+
01:52.294,1L2R
01:52.927,2
01:53.084,1
01:53.242,2
01:53.558,1+
01:53.874,2
01:54.032,1-2
01:54.347,2L
01:54.505,1L
01:54.821,2+
01:55.137,1
01:55.295,12-
01:55.611,1R
01:55.769,2R
01:56.085,1+
01:56.400,2
01:56.558,2
01:56.874,2
01:57.032,1-2
01:57.348,2R1L
01:57.979,12
01:58.295,12
01:58.611,2+
01:58.926,2L
01:59.085,1L
01:59.400,1
01:59.558,2
01:59.874,1+
02:00.190,1R
02:00.348,2R
02:00.664,2
02:00.822,1
02:01.138,2+
02:01.454,1
02:01.611,1
02:01.927,1
02:02.085,1
02:02.401,12-
02:03.189,2
02:03.348,12
02:03.664,1+
02:03.980,2
02:04.137,2
02:04.453,2
02:04.611,1-2
02:04.927,2+
02:05.242,1
02:05.401,1
02:05.717,1
02:05.874,2-1
02:06.190,1+
02:06.505,2
02:06.664,2+
02:06.979,2-
02:07.295,2
02:07.610,1-2
02:07.927,2
02:08.243,1+
02:08.559,2
02:08.716,1R
02:09.032,2
02:09.190,2+
02:10.769,1D-
02:11.243,1+
02:11.558,1-2
02:11.717,1
02:11.875,2
02:12.032,1
02:12.190,2
02:12.349,1
02:12.506,2+
02:12.980,1
02:13.296,1
02:13.612,1
02:13.770,2-1R
02:14.086,2
02:14.243,2+
02:16.138,1D-
02:16.453,1+
02:16.611,2
02:16.769,1-
02:16.927,2+
02:17.086,1
02:17.243,2-
02:17.401,1+
02:17.559,2
02:17.717,1-
02:17.875,2+
02:18.033,1
02:18.192,2-
02:18.348,1+
02:18.506,2
02:18.664,1-
02:18.822,2
02:19.296,1+2+
02:21.507,2L1R
