00:04.465,2U5U
01:22.350,5
01:22.581,1+6
01:23.002,1-4
01:23.231,5
01:23.338,2
01:23.448,6R
01:23.683,3
01:23.897,24
01:24.117,35+
01:24.349,2
01:24.556,16-
01:24.769,2+5
01:24.992,2-4
01:25.111,2
01:25.322,5
01:25.426,3
01:25.646,4
01:25.884,5
01:26.098,16+
01:26.325,2
01:26.540,35-
01:26.755,2+
01:26.874,4
01:27.204,1-5
01:27.413,2
01:27.634,4
01:27.865,2+5+
01:28.303,1-6-
01:28.515,2
01:28.629,5
01:28.860,2
01:28.967,5
01:29.178,16
01:29.413,5
01:29.619,24+
01:29.840,1
01:30.076,24-
01:30.291,1+
01:30.403,5
01:30.739,1-4
01:30.958,5
01:31.162,36+
01:31.385,2
01:31.618,16-
01:31.824,2+
01:32.045,2-5
01:32.158,3
01:32.385,4
01:32.502,2
01:32.721,5
01:32.927,16+
01:33.154,2
01:33.373,36-
01:33.596,2
01:33.699,5
01:33.809,1+
01:33.920,4
01:34.263,1-5
01:34.480,4
01:34.582,2
01:34.692,5+
01:34.918,3+5-
01:35.183,3-6+
01:35.359,1+6-
01:35.599,1-4
01:35.692,2
01:35.793,5+
01:35.907,1
01:36.125,2+5-
01:36.235,6
01:36.482,2-5
01:36.696,16+
01:37.147,25-
01:37.303,3
01:37.446,4
01:37.587,5+2L
01:37.808,5-
01:38.032,1+6R
01:38.255,1-
01:38.464,34
01:38.697,5
01:38.808,2
01:38.916,4
01:39.139,3
01:39.371,1+6+
01:39.569,1-6-
01:39.797,34
01:40.237,1+6
01:40.668,1-4
01:40.903,3
01:41.009,5
01:41.122,2
01:41.223,5
01:41.329,1
01:41.556,3
01:41.777,4
01:42.001,25+
01:42.332,1+5-
01:42.659,1-4
01:42.764,2
01:42.889,5
01:42.993,2
01:43.104,6
01:43.315,4
01:43.549,3
01:43.758,2+6
01:44.096,2-5+
01:44.420,15-
01:44.533,4
01:44.651,2
01:44.860,3
01:45.090,4
01:45.206,2
01:45.314,5
01:45.539,36+
01:45.869,1+6-
01:46.197,1-4
01:46.307,2
01:46.515,5
01:46.639,3
01:46.848,2U5U
01:47.288,16
01:47.731,2+4
01:47.959,2-5
01:48.074,3
01:48.181,6+
01:48.397,2
01:48.623,16-
01:48.727,5
01:48.834,2+
01:49.052,2-4
01:49.279,1+
01:49.397,5
01:49.706,1-4
01:49.812,2
01:49.921,5
01:50.038,2
01:50.158,6
01:50.361,3
01:50.478,5
01:50.582,2
01:50.803,16+
01:51.045,26-
01:51.148,5+
01:51.465,15-
01:51.576,4
01:51.685,2
01:51.907,3
01:52.136,4
01:52.251,2
01:52.364,5
01:52.585,6+
01:52.687,2
01:52.905,1+6-
01:53.243,1-4
01:53.348,2
01:53.458,5
01:53.578,3
01:53.695,6
01:53.904,35+
01:54.128,25-
01:54.333,16
01:54.774,35+
01:55.010,25-
01:55.115,4
01:55.226,1+
01:55.436,5
01:55.656,1-6
01:55.899,25+
01:56.109,35-
01:56.325,6+
01:56.429,2
01:56.771,36-
01:56.870,5
01:56.989,2
01:57.102,5
01:57.205,1
01:57.431,4
01:57.551,2
01:57.659,5
01:57.863,1+6
01:58.094,1-5
01:58.198,2+
01:58.531,2-6
01:58.647,3
01:58.750,5
01:58.965,4
01:59.194,3
01:59.310,5
01:59.424,2
01:59.534,4
01:59.635,1+
01:59.748,5
01:59.964,1-6+
02:00.078,2
02:00.300,36-
02:00.409,5
02:00.628,2
02:00.742,4
02:00.950,2U5U
