00:01.414,4U
01:59.651,5
01:59.835,5
02:00.005,2
02:00.180,2
02:00.526,1+6+
02:00.884,1-6-
02:01.054,5
02:01.223,2
02:01.407,4
02:01.768,1U
02:02.091,24+
02:02.452,1+4-
02:02.795,1-6
02:03.139,2R
02:03.495,35+
02:03.836,1+5-
02:04.203,1-4
02:04.552,5
02:04.723,2
02:04.885,4+
02:05.245,14-
02:05.411,5
02:05.589,2
02:05.764,6+
02:06.107,6-3
02:06.282,5
02:06.456,2
02:06.633,1+6+
02:07.006,1-6-
02:07.344,2+5+
02:09.802,2-5-
02:10.153,2+5+
02:10.467,1=6=
02:10.833,(2.5)=(4.5)=
02:11.167,1=6=
02:11.533,(2.5)=(4.5)=
02:12.759,1U6U
