0:0:5.963,2U5U
0:0:36.736,15
0:0:36.849,1
0:0:36.963,4
0:0:37.075,2
0:0:37.188,5+
0:0:37.414,15-
0:0:37.527,1
0:0:37.648,6
0:0:37.769,2
0:0:37.882,5
0:0:38.108,4L
0:0:38.334,35
0:0:38.559,26
0:0:38.674,6
0:0:38.786,3
0:0:38.899,5
0:0:39.012,2+
0:0:39.243,62-
0:0:39.367,6
0:0:39.481,1+
0:0:39.706,1-5
0:0:39.932,3R
0:0:40.157,24
0:0:40.383,15
0:0:40.496,5
0:0:40.609,2
0:0:40.722,4
0:0:40.835,1L4
0:0:41.738,3U
0:0:41.964,24
0:0:42.190,15
0:0:42.303,1
0:0:42.412,6
0:0:42.508,3
0:0:42.621,5L
0:0:42.844,1
0:0:42.953,4
0:0:43.063,2R
0:0:43.289,6
0:0:43.401,3
0:0:43.513,5L
0:0:43.740,1
0:0:43.852,4
0:0:43.966,2R
0:0:44.192,5
0:0:44.305,3
0:0:44.417,4+
0:0:44.644,24-
0:0:44.756,5
0:0:44.869,3+
0:0:45.095,3-5
0:0:45.321,14+
0:0:45.547,24-
0:0:45.660,5
0:0:45.772,3
0:0:45.885,4
0:0:45.998,2
0:0:46.224,61
0:0:46.337,6
0:0:46.449,2
0:0:46.563,5
0:0:46.683,3
0:0:46.780,5+
0:0:47.114,16-
0:0:47.227,1
0:0:47.340,5
0:0:47.452,2
0:0:47.566,4
0:0:47.679,2+
0:0:48.018,1-5+
0:0:48.074,2
0:0:48.131,5-
0:0:48.243,4
0:0:48.357,3
0:0:48.469,5+
0:0:48.526,2
0:0:48.583,5-
0:0:48.694,4
0:0:48.808,3
0:0:48.921,5+
0:0:48.978,2
0:0:49.034,5-
0:0:49.147,4
0:0:49.260,3
0:0:49.373,5+
0:0:49.429,2
0:0:49.486,5-
0:0:49.608,4
0:0:49.729,3
0:0:49.841,6+2+
0:0:50.067,2-
0:0:50.179,1+
0:0:50.406,1-
0:0:50.511,2+
0:0:50.725,2-
0:0:50.835,3+
0:0:51.053,3-
0:0:51.160,6-2+
0:0:51.402,2-5
0:0:51.502,5
0:0:51.619,2U
0:0:51.852,4
0:0:51.966,1+
0:0:52.192,1-5
0:0:52.316,5
0:0:52.540,16
0:0:52.757,1+6+
0:0:52.982,2-5-
0:0:53.095,4
0:0:53.208,3
0:0:53.433,1+6+
0:0:53.660,6-
0:0:53.773,5+
0:0:53.999,5-
0:0:54.112,6+
0:0:54.338,6-
0:0:54.451,5+
0:0:54.676,5-
0:0:54.788,1-4+
0:0:55.015,24-
0:0:55.121,2
0:0:55.242,4U
0:0:55.460,1
0:0:55.578,5+
0:0:55.917,25-
0:0:56.030,2
0:0:56.143,5+
0:0:56.608,36-
0:0:56.719,5
0:0:56.821,2
0:0:57.046,1+5+
0:0:57.283,2-5-
0:0:57.384,6+3+
0:0:57.707,5R3-
0:0:57.935,2+6+
0:0:58.157,2-5-
0:0:58.279,1+4+
0:0:58.607,2L4-
0:0:58.838,1+5+
0:0:59.073,2-5-
0:0:59.182,6+3+
0:0:59.526,3-5R
0:0:59.718,36+
0:0:59.943,2
0:1:0.170,14-
0:1:0.283,4U
0:1:0.638,61L
0:1:0.865,5
0:1:0.977,2
0:1:1.091,5+
0:1:1.314,35-
0:1:1.556,1+6R
0:1:1.782,1-5
0:1:1.896,1
0:1:2.008,4
0:1:2.121,2
0:1:2.234,5+
0:1:2.460,2L5R
0:1:2.685,6
0:1:2.799,1
0:1:2.911,5
0:1:3.024,2
0:1:3.138,4
0:1:3.346,3+4+
0:1:4.282,1-6-
0:1:4.734,1U
0:1:5.185,2+
0:1:5.242,5+
0:1:5.298,2-
0:1:5.355,5-
0:1:5.412,2
0:1:5.637,1U6U
0:1:6.056,1+6
0:1:6.289,1-5
0:1:6.407,2+
0:1:6.521,4
0:1:6.745,2-5
0:1:6.969,1+6
0:1:7.204,1-5
0:1:7.315,2+
0:1:7.419,4
0:1:7.645,2-5
0:1:7.871,36+
0:1:8.080,26-
0:1:8.193,5+
0:1:8.305,1
0:1:8.548,25-
0:1:8.774,36+
0:1:9.000,26-
0:1:9.113,5
0:1:9.226,15
0:1:9.452,5
0:1:9.527,2
0:1:9.602,5
0:1:9.678,2+
0:1:9.904,5L
0:1:10.129,42-
0:1:10.355,5
0:1:10.431,1
0:1:10.506,5
0:1:10.582,1+
0:1:10.824,1-5L
0:1:10.931,2
0:1:11.033,4
0:1:11.259,2+5
0:1:11.484,1-5+
0:1:11.711,16-
0:1:11.824,5
0:1:11.937,2
0:1:12.012,5
0:1:12.087,2
0:1:12.162,5
0:1:12.388,16
0:1:12.613,2+5+
0:1:12.828,2L5R
0:1:13.268,16
0:1:13.494,25
0:1:13.736,34
0:1:13.962,2
0:1:14.188,16+
0:1:14.415,26-
0:1:14.527,5+
0:1:14.641,3
0:1:14.866,25-
0:1:15.092,41+
0:1:15.318,1-5
0:1:15.430,2+
0:1:15.543,6
0:1:15.769,52-
0:1:15.995,41+
0:1:16.221,1-5
0:1:16.334,2
0:1:16.447,62
0:1:16.673,2
0:1:16.749,5
0:1:16.824,2
0:1:16.899,5+
0:1:17.125,2R
0:1:17.350,35-
0:1:17.576,2
0:1:17.652,6
0:1:17.728,2
0:1:17.802,6+
0:1:18.029,2R6-
0:1:18.141,5
0:1:18.254,3
0:1:18.495,25+
0:1:18.721,6-2+
0:1:19.058,61-
0:1:19.170,2
0:1:19.246,5
0:1:19.321,2
0:1:19.396,5
0:1:19.621,16
0:1:19.845,2+5+
0:1:20.071,2L5R
0:1:20.522,34+
0:1:20.749,2
0:1:20.975,6-1+
0:1:21.199,5
0:1:21.426,3-6+
0:1:21.765,3+4-
0:1:21.877,5
0:1:22.102,1-6
0:1:22.197,2
0:1:22.325,5
0:1:22.551,1+6
0:1:22.777,2-6+
0:1:23.115,25-
0:1:23.201,5
0:1:23.339,3
0:1:23.452,4
0:1:23.565,2
0:1:23.678,5
0:1:23.904,2
0:1:24.016,4
0:1:24.129,1+
0:1:24.356,1-5
0:1:24.469,5
0:1:24.582,2+
0:1:24.807,2-4
0:1:24.920,3
0:1:25.033,6+
0:1:25.259,26-
0:1:25.370,2
0:1:25.467,5+
0:1:25.692,35-
0:1:25.805,4
0:1:25.918,3
0:1:26.032,3
0:1:26.144,5
0:1:26.257,2
0:1:26.369,4
0:1:26.482,4
0:1:26.595,2
0:1:26.708,5
0:1:26.822,3
0:1:26.934,3
0:1:27.048,5
0:1:27.160,2
0:1:27.273,4
0:1:27.386,4
0:1:27.499,2
0:1:27.613,5
0:1:27.725,3+
0:1:28.175,5
0:1:28.608,6+
0:1:28.850,6-
0:1:28.965,4+
0:1:29.206,4-
0:1:29.319,6
0:1:29.543,2-5+
0:1:29.980,2
0:1:30.428,1+
0:1:30.771,1-6-
0:1:31.340,1!
0:1:38.556,26
0:1:38.889,3
0:1:39.002,35
0:1:39.228,2+6
0:1:39.680,2-5
0:1:39.905,14
0:1:40.132,3
0:1:40.356,25
0:1:40.566,3
0:1:40.679,5
0:1:40.792,25
0:1:40.906,2
0:1:41.024,6+
0:1:41.277,1+6-
0:1:41.503,1-6
0:1:41.724,2
0:1:41.837,5
0:1:41.938,2L
0:1:42.046,5R
0:1:42.159,2
0:1:42.385,5
0:1:42.498,2
0:1:42.611,4
0:1:42.836,3
0:1:42.955,5
0:1:43.077,2
0:1:43.285,4
0:1:43.361,2
0:1:43.436,5
0:1:43.512,3
0:1:43.753,16
0:1:43.980,5
0:1:44.093,2
0:1:44.206,4
0:1:44.318,4
0:1:44.432,2
0:1:44.528,5
0:1:44.641,3
0:1:44.753,3
0:1:44.866,5
0:1:44.979,2
0:1:45.092,4
0:1:45.204,4
0:1:45.318,2
0:1:45.431,5
0:1:45.537,3
0:1:45.786,16
0:1:46.012,25
0:1:46.221,34
0:1:46.448,2
0:1:46.560,6
0:1:46.673,1+6
0:1:46.899,1-5
0:1:47.012,2
0:1:47.125,5+
0:1:47.351,25-
0:1:47.463,4
0:1:47.577,2+
0:1:47.698,5
0:1:47.798,2-5
0:1:47.918,3
0:1:48.045,6+
0:1:48.157,2
0:1:48.270,26-
0:1:48.384,5
0:1:48.496,1+
0:1:48.610,4
0:1:48.722,1-4
0:1:48.835,2
0:1:48.949,5+
0:1:49.062,3
0:1:49.174,35-
0:1:49.270,6
0:1:49.382,2
0:1:49.610,2
0:1:49.722,5
0:1:49.835,35
0:1:50.061,4
0:1:50.174,2
0:1:50.287,25
0:1:50.513,3
0:1:50.588,5
0:1:50.663,2
0:1:50.739,4
0:1:50.965,16
0:1:51.190,1L6R
0:1:52.546,26
0:1:52.771,35
0:1:52.997,4
0:1:53.111,2+4
0:1:53.449,1-5
0:1:53.668,2
0:1:53.917,5
0:1:54.001,2
0:1:54.110,4
0:1:54.224,3
0:1:54.344,5+
0:1:54.579,6-2+
0:1:54.804,1-6
0:1:55.023,3
0:1:55.139,5
0:1:55.252,5
0:1:55.477,4
0:1:55.590,2
0:1:55.704,2
0:1:55.946,3
0:1:56.058,5
0:1:56.172,5
0:1:56.397,4
0:1:56.511,2
0:1:56.624,2
0:1:56.849,3
0:1:56.949,5
0:1:57.057,5+
0:1:57.283,1
0:1:57.509,25-
0:1:57.735,36
0:1:57.962,14
0:1:58.202,5
0:1:58.309,3
0:1:58.410,3
0:1:58.635,2
0:1:58.748,4
0:1:58.862,4
0:1:59.087,5
0:1:59.200,3
0:1:59.313,3
0:1:59.538,2
0:1:59.652,4
0:1:59.765,4
0:1:59.991,5
0:2:0.103,3
0:2:0.213,3
0:2:0.438,4
0:2:0.551,2
0:2:0.665,2+
0:2:0.890,6
0:2:1.116,2-5
0:2:1.341,14
0:2:1.584,36
0:2:1.810,2
0:2:1.923,4
0:2:2.035,4
0:2:2.262,3
0:2:2.374,6
0:2:2.487,6
0:2:2.713,1
0:2:2.826,4
0:2:2.939,4
0:2:3.165,3
0:2:3.278,5+
0:2:3.599,15-
0:2:3.712,6
0:2:3.825,6
0:2:4.050,3
0:2:4.164,5
0:2:4.273,5+
0:2:4.497,2
0:2:4.740,35-
0:2:4.835,5
0:2:4.949,2
0:2:5.062,4
0:2:5.174,1+
0:2:5.400,1-6
0:2:5.514,3
0:2:5.627,3
0:2:5.852,4
0:2:5.965,1
0:2:6.079,1
0:2:6.303,6
0:2:6.417,3
0:2:6.531,3
0:2:6.757,4
0:2:6.869,2+
0:2:7.208,2-5
0:2:7.321,5
0:2:7.433,2U
0:2:7.660,4
0:2:7.773,1
0:2:7.886,1+
0:2:8.111,5
0:2:8.337,1-6+
0:2:8.563,36-
0:2:8.675,5
0:2:8.788,2+
0:2:9.015,2-5
0:2:9.128,5
0:2:9.241,1
0:2:9.354,4
0:2:9.466,2
0:2:9.581,5
0:2:9.709,3
0:2:9.935,4
0:2:10.048,2
0:2:10.160,5
0:2:10.274,3
0:2:10.387,4
0:2:10.462,2
0:2:10.537,5
0:2:10.612,3
0:2:10.838,52
0:2:10.951,2
0:2:11.064,6
0:2:11.175,3
0:2:11.287,5
0:2:11.400,2
0:2:11.513,4
0:2:11.738,3
0:2:11.852,5
0:2:11.965,2
0:2:12.077,4
0:2:12.171,3
0:2:12.240,5
0:2:12.311,2
0:2:12.383,4
0:2:12.608,25
0:2:12.722,5
0:2:12.835,1
0:2:12.948,4
0:2:13.067,2
0:2:13.194,5
0:2:13.283,3
0:2:13.518,4
0:2:13.643,2
0:2:13.743,5
0:2:13.855,3
0:2:13.968,4
0:2:14.044,2
0:2:14.119,5
0:2:14.194,3
0:2:14.409,52
0:2:14.528,4
0:2:14.650,2+
0:2:14.715,5
0:2:14.776,2-
0:2:14.869,3
0:2:14.958,4
0:2:15.081,2+
0:2:15.135,5
0:2:15.187,2-
0:2:15.317,3
0:2:15.436,4
0:2:15.549,2+
0:2:15.610,5
0:2:15.673,2-
0:2:15.776,3
0:2:15.899,4
0:2:15.998,2+
0:2:16.054,5
0:2:16.113,2-
0:2:16.231,1+6+
0:2:16.449,1U6U
