00:02.887,2L
01:00.781,36-
01:00.915,4
01:01.167,1+5
01:01.413,1-6
01:01.536,2+
01:01.905,2-4
01:02.138,1+5
01:02.381,1-6+
01:02.627,26-
01:02.750,5
01:02.874,3
01:03.119,2+
01:03.365,2-4
01:03.488,2
01:03.612,5
01:03.734,3
01:03.857,6+
01:04.103,6-3
01:04.227,5+
01:04.473,25-
01:04.595,6+
01:04.841,1+6-
01:05.087,6
01:05.333,1-5+
01:05.456,2+
01:05.809,2R5L
01:06.055,4
01:06.178,3
01:06.424,26+
01:06.670,36-
01:06.794,4
01:07.050,4
01:07.174,3
01:07.296,5
01:07.420,2+
01:07.805,2R5L
01:08.058,3
01:08.186,4
01:08.421,16
01:08.665,2+
01:08.785,4
01:09.034,2-5
01:09.282,1+6+
01:09.528,1L6R
01:10.020,6U
01:10.267,4U
01:10.512,2U
01:10.758,4
01:10.882,2R
01:11.127,5+
01:11.250,1L
01:11.496,25-
01:11.733,3
01:11.896,5
01:11.970,2+
01:12.207,2-6
01:12.330,2
01:12.453,5
01:12.535,3
01:12.618,4
01:12.699,2
01:12.864,5
01:12.946,3
01:13.110,4
01:13.192,2
01:13.315,5
01:13.439,3
01:13.602,2
01:13.684,4
01:13.807,1+
01:14.054,1-5+
01:14.300,25-
01:14.423,5
01:14.670,3R6R
01:14.915,6R3R
01:15.285,2
01:15.408,5
01:15.531,3
01:15.654,5+
01:15.900,15-
01:16.024,6+
01:16.270,6-2
01:16.393,3
01:16.516,4
01:16.638,1+
01:16.886,2-6+
01:17.132,35-
01:17.378,2
01:17.501,5
01:17.624,3
01:17.871,2
01:17.994,4+
01:18.256,14-
01:18.499,5
01:18.622,2+
01:18.868,2-6
01:18.991,3
01:19.229,5+
01:19.474,25-
01:19.589,5
01:19.703,4
01:19.826,3
01:19.949,5+
01:20.319,24-
01:20.441,3
01:20.565,4
01:20.687,2+
01:21.057,1-5
01:21.181,4
01:21.304,3
01:21.549,25+
01:21.796,36-
01:22.043,2+4
01:22.288,1-5
01:22.411,2
01:22.535,5+
01:22.781,36-
01:23.027,2+4
01:23.273,1-5
01:23.396,2
01:23.519,5+
01:23.766,16-
01:23.889,5
01:24.012,2
01:24.134,4
01:24.381,3+
01:24.504,4+
01:24.991,1-6-
01:25.237,2U5L
01:25.728,14
01:25.975,25
01:26.225,63
01:26.483,16+
01:26.729,35-
01:26.852,4
01:27.081,2
01:27.205,5
01:27.323,3
01:27.434,4+
01:27.680,24-
01:27.926,3
01:28.049,5+
01:28.305,15-
01:28.429,5+
01:28.675,2
01:28.921,16-
01:29.659,6+
01:29.906,1R6L
01:30.398,1+
01:30.767,1R6L
01:31.629,6
01:31.875,1R6L
01:32.121,1
01:32.367,6
01:32.613,1R6L
01:32.858,1R6L
01:33.582,5
01:33.827,2R5L
01:34.092,5
01:34.340,2+
01:34.591,2+5
01:34.707,2R
01:34.951,5L
01:35.215,3+
01:35.814,2R5L
01:36.551,2R5L
01:36.798,2R5L
01:37.291,1+6+
01:37.783,1R6L
01:38.152,25+
01:38.522,16-
01:38.768,2R5L
01:39.014,1+6+
01:39.507,1-6-
01:39.764,2R
01:39.876,5L
01:40.121,2+5+
01:40.492,2R5L
01:40.737,2R5L
01:41.230,3+5
01:41.476,2-4+
01:41.722,1+5-
01:41.969,2-6+
01:42.215,3+5-
01:42.585,2-4
01:42.707,3
01:42.954,5
01:43.199,16
01:43.446,5
01:43.611,3
01:43.692,6
01:43.857,2
01:43.938,5
01:44.103,1
01:44.185,4
01:44.670,1!
01:53.029,2L5L
01:53.521,1U4U
01:54.013,2R5R
01:54.259,3
01:54.382,4
01:54.506,2
01:54.629,5
01:54.752,1
01:54.875,6
01:54.998,2+
01:55.116,5+
01:55.238,3-
01:55.362,34-
01:55.485,5+
01:55.608,2+
01:55.731,6-
01:55.865,1-6
01:55.988,2
01:56.235,4
01:56.357,3
01:56.480,2+5+
01:56.726,2-5-
01:56.973,3+5
01:57.195,2-6+
01:57.453,1+5-
01:57.694,2-5
01:57.811,2
01:57.934,4
01:58.197,3
01:58.320,5+
01:58.444,2+
01:58.566,6-
01:58.689,1-6
01:58.813,2
01:59.181,25L
01:59.552,16
01:59.923,2R5
