0:0:2.084,1U
0:1:10.428,4
0:1:10.595,3
0:1:10.761,2L
0:1:10.929,5
0:1:11.091,4
0:1:11.413,35
0:1:11.746,26
0:1:12.080,1+5
0:1:12.414,1-6
0:1:12.581,2+5
0:1:12.748,4
0:1:13.093,2-5
0:1:13.424,16+
0:1:13.762,26-
0:1:14.097,3+5+
0:1:14.250,3-
0:1:14.428,2+
0:1:14.600,2-
0:1:14.766,1+5-
0:1:14.933,1-
0:1:15.094,24+
0:1:15.258,2
0:1:15.441,1+5-
0:1:15.617,4
0:1:15.757,2-5+
0:1:15.930,3
0:1:16.102,1+6-
0:1:16.251,4
0:1:16.418,2-5+
0:1:16.751,3
0:1:16.918,3
0:1:17.252,1
0:1:17.419,1
0:1:17.733,3
0:1:17.900,3
0:1:18.253,6-2
0:1:18.437,2
0:1:18.770,2L5
0:1:18.928,5
0:1:19.271,4
0:1:19.435,1+4
0:1:19.764,6
0:1:20.101,4
0:1:20.239,5
0:1:20.406,6
0:1:20.573,2-5
0:1:20.907,3
0:1:21.074,2
0:1:21.407,3
0:1:21.491,5
0:1:21.574,3
0:1:21.657,5
0:1:21.741,2
0:1:21.825,4
0:1:21.927,2
0:1:22.038,4
0:1:22.108,1+
0:1:22.425,1-4
0:1:22.592,2+
0:1:22.759,5
0:1:22.918,5
0:1:23.092,2-6
0:1:23.426,16+
0:1:23.760,36-
0:1:23.927,5+
0:1:24.096,2
0:1:24.261,2
0:1:24.430,15-
0:1:24.761,3+6+
0:1:24.928,3-
0:1:25.077,1+
0:1:25.245,1-
0:1:25.411,3
0:1:25.590,2
0:1:25.755,1L6-
0:1:26.099,4
0:1:26.278,3
0:1:26.435,2
0:1:26.780,6+
0:1:26.947,2
0:1:27.113,1+6-
0:1:27.447,1-5+
0:1:27.781,25-
0:1:27.948,6+
0:1:28.115,3
0:1:28.282,2
0:1:28.448,16-
0:1:28.782,2+4
0:1:29.116,2-6
0:1:29.299,1+
0:1:29.466,4
0:1:29.633,5
0:1:29.800,1-6
0:1:30.134,2R6+
0:1:30.467,3
0:1:30.801,16-
0:1:30.884,5
0:1:30.968,2
0:1:31.051,4
0:1:31.133,3
0:1:31.285,25
0:1:31.618,3
0:1:31.786,2
0:1:32.119,1+
0:1:32.268,5
0:1:32.435,1-6+
0:1:32.787,2+6-
0:1:33.120,2-5
0:1:33.287,1+
0:1:33.453,4
0:1:33.620,4
0:1:33.787,1-5
0:1:34.120,6+2R
0:1:34.453,6-3
0:1:34.620,5+
0:1:34.787,2
0:1:34.954,2
0:1:35.121,15-
0:1:35.454,3+6+
0:1:35.621,3-
0:1:35.788,1+
0:1:35.955,1-
0:1:36.122,3
0:1:36.279,2
0:1:36.438,1L6-
0:1:36.765,4
0:1:36.934,3
0:1:37.101,2
0:1:37.439,6+
0:1:37.599,2
0:1:37.766,1+6-
0:1:38.100,1-5+
0:1:38.434,25-
0:1:38.600,5+
0:1:38.767,3
0:1:38.938,2
0:1:39.101,16-
0:1:39.435,2+4
0:1:39.768,2-6
0:1:39.935,1+
0:1:40.102,4
0:1:40.269,5
0:1:40.435,1-6+
0:1:40.770,2+6-
0:1:41.121,62-
0:1:41.287,2+
0:1:41.453,5
0:1:41.620,5
0:1:41.787,63-
0:1:41.937,2
0:1:42.103,1L5
0:1:42.271,5
0:1:42.438,62
0:1:42.605,6
0:1:42.772,51
0:1:42.938,5
0:1:43.105,62
0:1:43.423,1!
0:1:48.761,1R6U
0:1:49.094,3
0:1:49.261,2
0:1:49.595,5
0:1:49.761,6
0:1:49.929,2U5L
0:1:50.250,4
0:1:50.417,3
0:1:50.584,2
0:1:50.751,35
0:1:50.918,4
0:1:51.085,5
0:1:51.256,4
0:1:51.420,2L5+
0:1:51.588,5-
0:1:51.754,1+6R
0:1:51.936,1-
0:1:52.108,25L
0:1:52.253,3
0:1:52.421,4
0:1:52.597,52U
0:1:52.944,3
0:1:53.117,4
0:1:53.283,5
0:1:53.364,2
0:1:53.450,5
0:1:53.633,4
0:1:53.800,3
0:1:53.967,2
0:1:54.134,1+6
0:1:54.467,1-4
0:1:54.635,2+
0:1:54.789,5
0:1:54.950,5
0:1:55.118,2-6
0:1:55.434,16+
0:1:55.768,6-3
0:1:55.935,5+
0:1:56.101,2
0:1:56.268,2
0:1:56.434,15-
0:1:56.807,36+
0:1:56.953,2
0:1:57.120,1+
0:1:57.286,1-
0:1:57.453,3
0:1:57.620,2
0:1:57.787,1L6-
0:1:58.122,4
0:1:58.288,3
0:1:58.455,2
0:1:58.789,6+
0:1:58.955,2
0:1:59.123,1+6-
0:1:59.457,1-5+
0:1:59.790,25-
0:1:59.957,6+
0:2:0.128,3
0:2:0.291,2
0:2:0.458,16-
0:2:0.792,2+4
0:2:1.125,2-6
0:2:1.293,1+
0:2:1.459,4
0:2:1.626,5
0:2:1.793,1-6
0:2:2.127,1R6
0:2:2.293,2
0:2:2.460,35
0:2:2.794,6
0:2:2.878,2
0:2:2.961,5
0:2:3.044,3
0:2:3.128,4
0:2:3.294,25
0:2:3.629,4
0:2:3.795,3
0:2:3.963,2
0:2:4.131,1
0:2:4.218,4
0:2:4.296,2
0:2:4.380,5
0:2:4.463,3
0:2:4.630,3
0:2:4.714,5
0:2:4.797,2+
0:2:5.121,2-5
0:2:5.280,1+
0:2:5.441,4
0:2:5.607,4
0:2:5.779,1-5
0:2:6.117,6+2R
0:2:6.451,6-3
0:2:6.618,5+
0:2:6.775,2
0:2:6.935,2
0:2:7.102,15-
0:2:7.437,2R6+
0:2:7.782,2R
0:2:8.115,3
0:2:8.281,2
0:2:8.436,1L6-
0:2:8.766,2
0:2:8.933,3
0:2:9.100,4
0:2:9.270,5
0:2:9.450,1
0:2:9.561,6
0:2:9.672,3
0:2:9.783,4
0:2:9.895,1
0:2:10.006,6
0:2:10.117,3R
0:2:10.283,5+
0:2:10.450,2
0:2:10.616,15-
0:2:10.784,5+
0:2:11.101,26-
0:2:11.267,5+
0:2:11.600,14-
0:2:11.755,5
0:2:11.918,4
0:2:12.085,3+
0:2:12.252,5
0:2:12.420,3-5+
0:2:12.585,1
0:2:12.753,2+5-
0:2:12.920,6
0:2:13.086,2-5
0:2:13.257,1+4+
0:2:13.420,4-
0:2:13.587,6
0:2:13.753,1-5
0:2:13.920,4
0:2:14.087,16
0:2:14.254,16
0:2:14.421,25
0:2:14.589,25
0:2:14.756,16
0:2:14.927,25
0:2:15.089,16
0:2:15.255,25
0:2:15.422,1+6
0:2:17.756,2-
0:2:19.106,25
0:2:19.272,34
0:2:19.607,16
0:2:19.957,34
0:2:20.290,16
0:2:20.605,34
