00:02.096,36
01:33.574,4
01:33.708,2
01:33.842,2
01:33.976,5
01:34.109,5
01:34.243,2U
01:34.646,3
01:34.779,4
01:35.047,2
01:35.181,5
01:35.315,1
01:35.449,6
01:35.717,34
01:35.985,5
01:36.119,2
01:36.252,5
01:36.386,2R
01:36.789,2
01:36.922,5L
01:37.189,1
01:37.324,4
01:37.458,1
01:37.592,5
01:37.725,2
01:37.859,6
01:37.993,3
01:38.262,5
01:38.395,2
01:38.529,5
01:38.797,4
01:38.931,1
01:39.065,4L
01:39.333,2
01:39.467,5
01:39.601,2
01:39.735,6
01:39.869,3
01:40.002,3
01:40.136,6L
01:40.271,2
01:40.405,5
01:40.538,5
01:40.673,2R
01:41.074,3
01:41.208,4
01:41.476,6
01:41.610,1
01:41.744,5
01:41.878,2
01:42.012,4
01:42.146,3
01:42.280,5
01:42.414,5
01:42.548,2
01:42.681,2
01:42.815,4
01:42.949,3
01:43.083,6
01:43.217,1
01:43.351,4
01:43.485,3
01:43.619,6
01:43.754,1
01:43.887,5
01:44.020,4
01:44.155,3
01:44.289,2
01:44.423,5
01:44.556,4
01:44.690,3
01:44.825,2
01:44.959,5
01:45.092,2+
01:45.360,2-5
01:45.494,1+
01:45.762,1-6
01:45.896,2+
01:46.164,2-5
01:46.297,3
01:46.432,4
01:46.565,2L
01:47.101,36
01:47.236,3
01:47.369,6
01:47.503,2
01:47.637,5
01:47.771,1
01:47.904,4
01:48.042,3+
01:48.307,3-6
01:48.440,2+
01:48.709,2-5
01:48.842,1+
01:49.110,1-4
01:49.244,25
01:49.379,2
01:49.511,4
01:49.647,3
01:49.780,5
01:49.913,2
01:50.048,6
01:50.182,1
01:50.315,25
01:50.451,4
01:50.583,3
01:50.717,2
01:50.852,5
01:50.985,2
01:51.119,5
01:51.253,2
01:51.387,14
01:51.521,4
01:51.655,1
01:51.788,5
01:51.922,2
01:52.057,6
01:52.190,3
01:52.324,4+
01:52.593,14-
01:52.726,5+
01:52.994,25-
01:53.128,6+
01:53.398,36-
01:53.530,25
01:53.664,5
01:53.798,3
01:53.931,4
01:54.065,2
01:54.200,5
01:54.333,1
01:54.467,6
01:54.602,2
01:54.735,5
01:54.803,3
01:54.870,5
01:55.003,2
01:55.137,6
01:55.658,(3.5)
