0:0:3.797,4U1U
0:1:48.322,1-3
0:1:48.624,4+
0:1:48.940,4-2
0:1:49.256,2+3+
0:1:50.361,1U4-
0:1:51.468,2
0:1:51.784,2L4L
0:1:52.107,3
0:1:52.417,1R3R
0:1:52.892,4+1+
0:1:53.365,1U4U
0:1:54.154,1+4+
0:1:54.628,1U4U
0:1:55.418,1+4+
0:1:55.727,1-
0:1:56.043,1+
0:1:56.359,1-4-
0:1:56.676,2+3+
0:1:57.477,1-4-
0:1:57.924,4+2+
0:1:58.424,(1.2)=(3.2)=
0:1:58.703,(1.8)=(3.8)=
0:1:59.188,1U3-
0:1:59.521,3
0:1:59.834,2
0:2:0.147,1
0:2:0.469,1+4+
0:2:1.718,1R4L
0:2:2.033,3U
0:2:2.350,2U
0:2:2.666,3U
0:2:3.140,4+1+
0:2:5.670,2-4L
0:2:5.986,2
0:2:6.302,3
0:2:6.622,4
0:2:6.934,3
0:2:7.250,2
0:2:7.578,1
0:2:7.894,2
0:2:8.211,3+
0:2:8.523,3U
0:2:8.843,2+
0:2:9.160,2U
0:2:9.483,3+
0:2:9.807,3R
0:2:10.122,2+
0:2:10.438,2L
0:2:10.754,1+4+
0:2:11.387,1R4R
0:2:12.012,2+4+
0:2:12.643,1-3-
0:2:13.257,3U
0:2:13.739,3+
0:2:14.370,1L3L
0:2:14.840,4
0:2:15.156,3
0:2:15.485,2
0:2:15.786,1+3+
0:2:17.064,1-4U
