00:03.546,2L5L
00:53.913,4
00:54.276,25
00:54.457,25
00:54.731,16
00:55.366,5L
00:55.640,2
00:55.913,2R
00:56.185,5
00:56.457,5L
00:56.731,2
00:57.003,2R
00:57.185,4
00:57.458,2+5+
00:58.549,1-6-
00:58.913,2R
00:59.730,14
01:00.185,25
01:00.549,63
01:00.822,14
01:01.276,25
01:01.640,63
01:01.913,63
01:02.367,25
01:02.731,14
01:03.004,63
01:03.458,25
01:03.822,14
01:04.368,2
01:04.640,3
01:04.913,4
01:05.186,5+
01:05.459,25-
01:05.640,5
01:06.550,5
01:06.822,4
01:07.095,3
01:07.276,5
01:07.367,2+
01:07.641,2-5
01:07.821,2
01:08.731,2
01:09.003,3
01:09.277,4
01:09.549,5
01:09.732,2+
01:10.004,62-
01:10.549,4
01:10.640,1+
01:10.914,1-5
01:11.095,2
01:11.186,6+
01:11.459,6-3
01:11.731,25
01:11.913,25
01:12.186,1L6R
01:13.095,2
01:13.368,3
01:13.641,4
01:13.913,5
01:14.095,2
01:14.186,4
01:14.367,1+
01:14.731,1-4
01:15.004,6
01:15.277,5
01:15.459,2
01:15.549,4
01:15.823,3
01:16.096,2
01:16.276,5+
01:16.550,15-
01:17.459,2
01:17.732,3
01:18.004,4
01:18.277,5+
01:18.550,25-
01:18.732,5
01:19.368,1L6R
01:20.459,25
01:20.641,25
01:20.913,1L6R
01:21.550,16
01:21.731,16
01:22.009,2U5
01:22.914,1L6R
01:23.459,5
01:23.641,2
01:23.731,5
01:23.913,2
01:24.187,16
01:24.732,5
01:24.823,2+
01:25.096,2-4+
01:25.369,1+4-
01:25.641,1-5
01:25.914,6
01:26.095,3
01:26.369,25
01:27.277,1+
01:27.551,1-6+
01:27.823,6-2+
01:28.096,2-5+
01:28.368,35-
01:28.642,4
01:28.914,5
01:29.187,1+6+
01:31.095,1-6-
01:31.550,1
01:31.732,2
01:31.914,3
01:32.095,4
01:32.278,5
01:32.460,1U6U
01:33.550,1+
01:33.824,1-4
01:34.005,2
01:34.096,5
01:34.278,3
01:35.187,5+
01:35.460,25-
01:35.733,6+
01:36.005,6-3
01:36.187,5
01:36.278,2
01:36.460,4
01:36.823,1
01:37.005,4
01:37.096,2
01:37.279,5
01:37.551,16
01:37.915,25
01:38.188,3
01:38.460,4
01:38.733,5
01:39.006,25
01:39.278,4
01:39.551,3
01:39.824,2
01:40.096,2U5
01:40.642,2U5
01:41.096,2L5
01:41.734,2+
01:42.006,2-5
01:42.279,1
01:42.460,4
01:42.551,2
01:42.733,5
01:42.824,3
01:43.006,6
01:43.915,5+
01:44.187,25-
01:44.460,6
01:44.642,3
01:44.733,5
01:44.915,2
01:45.006,4
01:45.189,1
01:45.551,25
01:45.733,25
01:46.005,16
01:46.642,25
01:46.915,3
01:47.187,4
01:47.461,5
01:47.733,25
01:48.007,4
01:48.278,3
01:48.552,2
01:48.824,2L5
01:49.369,25R
01:49.824,2U5
01:51.274,(3.5)
01:55.370,5L
01:55.642,2
01:55.916,2R
01:56.188,5
01:56.460,5L
01:56.734,2
01:57.007,2R
01:57.188,4
01:57.461,2+5+
01:58.552,1-6-
01:58.916,2R
01:59.734,6
01:59.915,3
02:00.006,5
02:00.188,2
02:00.279,4
02:00.461,1
02:00.733,5
02:00.824,2
02:01.006,5
02:01.097,2
02:01.279,16
02:01.916,1
02:02.098,4
02:02.188,2
02:02.370,5
02:02.461,3
02:02.643,6
02:02.916,25
02:03.188,16
02:03.462,2R5
02:04.097,6
02:04.279,3
02:04.370,5
02:04.552,2
02:04.643,4
02:04.825,1
02:05.098,5
02:05.188,2
02:05.370,5
02:05.461,2
02:05.644,16
02:06.461,1
02:06.643,2
02:06.826,3
02:07.007,4
02:07.189,5
02:07.371,1U6U
