00:02.400,2L5R
01:04.766,3
01:04.935,4
01:05.108,25
01:05.273,4
01:05.445,3
01:05.785,15+
01:06.122,25-
01:06.299,6+
01:06.469,3
01:06.637,36-
01:06.808,5+
01:06.976,2
01:07.146,2+5-
01:07.483,2-5
01:07.652,1
01:07.820,6
01:08.149,2+4
01:08.318,4
01:08.487,2-5+
01:08.824,1+5-
01:08.994,5
01:09.162,1-6+
01:09.499,2+6-
01:09.668,5
01:09.837,2-5+
01:10.006,1
01:10.175,15-
01:10.512,2R
01:10.681,5R
01:10.849,3
01:11.019,2
01:11.187,15+
01:11.525,25-
01:11.694,6+
01:11.863,1
01:12.201,26-
01:12.369,3
01:12.454,5
01:12.538,2+
01:12.707,4
01:12.876,2-4
01:13.045,1+
01:13.213,5
01:13.551,1-4
01:13.720,4
01:13.888,35+
01:14.225,25-
01:14.395,1+
01:14.564,4
01:14.901,1-6
01:15.070,2+6
01:15.239,5+
01:15.576,2-5-
01:15.906,25
01:16.065,5
01:16.234,2U5U
01:16.403,4
01:16.571,3
01:16.740,2
01:16.909,1+4
01:17.247,1-5+
01:17.583,25-
01:17.752,6+
01:17.922,3
01:18.090,3
01:18.259,2+6-
01:18.596,2-5+
01:18.932,15-
01:19.099,2
01:19.263,36+
01:19.588,36-
01:19.757,2+
01:19.927,6
01:20.096,5
01:20.264,2-4
01:20.433,2
01:20.601,16+
01:20.770,2
01:20.939,3
01:21.108,2
01:21.276,1L6R
01:21.955,1!
01:27.353,4R
01:27.691,35
01:28.028,6+2
01:28.534,1
01:28.703,2+5-
01:28.872,6
01:29.041,5
01:29.210,1-4
01:29.378,2
01:29.548,5
01:29.717,3
01:29.885,6
01:30.053,2L
01:30.222,5
01:30.391,15
01:30.729,3+6
01:31.070,4
01:31.235,5
01:31.407,6+2-
01:31.573,3
01:31.742,2
01:31.924,15-
01:32.077,4
01:32.248,2
01:32.427,5
01:32.598,3
01:32.769,36
01:33.106,2
01:33.274,5+
01:33.442,3
01:33.780,25-
01:33.948,1+
01:34.117,4
01:34.455,1-5
01:34.627,6+
01:34.800,3
01:35.137,26-
01:35.475,16
01:35.644,5
01:35.812,24
01:35.980,5
01:36.065,3
01:36.150,5+
01:36.306,2
01:36.470,25-
01:36.638,6
01:36.807,1U6U
01:36.976,2
01:37.061,5
01:37.145,3
01:37.313,4
01:37.482,1
01:37.651,4
01:37.819,2
01:37.987,5
01:38.157,3+5
01:38.495,3-6
01:38.832,15+
01:39.336,3
01:39.490,2+5-
01:39.659,6
01:39.828,5
01:39.996,2-4
01:40.165,1
01:40.319,5
01:40.480,26+
01:40.817,16-
01:40.986,2
01:41.154,35
01:41.323,4
01:41.492,2+5
01:41.829,4
01:41.998,5
01:42.166,2-6
01:42.335,2
01:42.503,1+4
01:42.672,4
01:42.841,1-5+
01:43.011,2
01:43.179,35-
01:43.517,26
01:43.853,1+4
01:44.191,1-5+
01:44.530,35-
01:44.697,2
01:44.866,16+
01:45.035,1
01:45.203,2+6-
01:45.372,5
01:45.541,2-5+
01:45.710,1
01:45.878,25-
01:46.216,3U4U
01:46.553,5
01:46.722,2
01:47.229,6
01:47.566,25
01:47.901,4
01:48.241,3
01:48.579,2
01:48.916,1+5
01:49.254,1-6
01:49.422,1+
01:49.591,5
01:49.930,6
01:50.279,5
01:50.604,4
01:50.773,5
01:50.942,6
01:51.278,5
01:51.448,4
01:51.616,5
01:51.954,6
01:52.123,5
01:52.461,5
01:52.629,6
01:52.979,2-5
01:53.305,4
01:53.642,2
01:53.811,3
01:53.979,4
01:54.317,2L5R
01:54.655,4
01:54.992,5
01:55.330,16
01:56.005,3
01:56.343,26
01:57.018,35
01:57.693,4
01:58.380,3
01:59.060,2
01:59.750,2+5+
02:02.362,1R6L
