00:05.519,2L5
00:55.396,5
00:55.583,2
00:55.771,1+5+
00:56.147,1-5-
00:56.521,15
00:56.802,2
00:57.085,3
00:57.271,26
00:57.552,5
00:57.833,4
00:58.021,15
00:58.302,2
00:58.584,3
00:58.770,62
00:59.053,5
00:59.334,4
00:59.521,2U5R
00:59.896,2L5U
01:00.272,1+6+
01:01.021,2-5-
01:02.146,2U5U
01:02.522,34
01:02.896,5+
01:03.271,2+5-
01:03.647,62-
01:03.834,1+
01:04.209,1-4
01:04.397,3
01:04.584,5+
01:04.772,2
01:05.147,25-
01:05.335,1+
01:05.709,1-6
01:05.897,2
01:06.084,2
01:06.271,4
01:06.459,3
01:06.646,5
01:06.835,5
01:07.022,3
01:07.209,4
01:07.396,2
01:07.585,2+
01:07.772,5
01:08.147,2-5
01:08.521,1L
01:08.897,25
01:09.272,1L
01:09.647,25
01:09.834,6+
01:10.209,6-3
01:10.397,5
01:10.584,2
01:10.771,6R
01:10.960,3
01:11.053,4
01:11.334,5
01:11.522,2U
01:11.709,5
01:11.897,1
01:12.085,6
01:12.271,2R
01:12.460,5
01:12.647,3
01:12.835,4
01:13.022,16
01:13.397,25
01:13.772,34
01:14.146,25
01:14.522,1L
01:14.709,4
01:14.897,2
01:15.085,5
01:15.272,16
01:15.459,2
01:15.553,5+
01:15.835,5-
01:16.022,1L
01:16.210,4
01:16.397,2
01:16.585,5
01:16.772,16
01:16.959,2
01:17.053,5+
01:17.335,5-
01:17.522,1L
01:17.710,4
01:17.898,2
01:18.085,5
01:18.271,16
01:18.460,2
01:18.554,5+
01:18.834,5-
01:19.022,1L
01:19.210,4
01:19.397,2
01:19.585,5
01:19.772,16
01:19.960,2
01:20.053,5+
01:20.334,5-
01:20.523,1+
01:21.084,1-6+
01:21.647,6-2
01:22.023,1+5
01:22.399,1-4
01:22.772,6+3
01:23.147,6-2
01:23.523,15+
01:23.897,3
01:24.273,1
01:24.648,35-
01:25.022,16
01:25.397,25
01:25.773,3
01:25.959,4
01:26.148,5
01:26.336,6+3+
01:26.992,1=
01:27.648,6-3L
01:29.523,2L
01:31.023,1L
01:32.523,2R
01:33.273,2R
01:34.023,5L
01:34.773,2R
01:35.522,14
01:35.899,2
01:36.273,14
01:36.649,2
01:37.023,63
01:37.398,5
01:37.774,63
01:38.148,5
01:38.523,3+4+
01:39.273,6-1R
01:40.024,2
01:40.399,2
01:40.774,2U
01:41.510,(3.5)
01:47.524,1+
01:48.087,1-6+
01:48.649,6-2
01:49.024,1+5
01:49.398,1-4
01:49.775,6+3
01:50.149,6-2
01:50.524,15+
01:50.900,3
01:51.275,1
01:51.650,35-
01:52.024,16
01:52.399,25
01:52.774,3
01:52.962,4
01:53.149,5
01:53.337,6+3+
01:54.180,1=
01:55.024,6-3L
01:55.399,3
01:55.774,3
01:56.149,3
01:56.524,63+
01:56.899,6
01:57.274,6
01:57.649,1-6
01:58.024,16+
01:58.399,1
01:58.773,1
01:59.148,16-
01:59.524,1L4L
01:59.899,2R5R
02:00.274,6U3U
02:00.649,2L5L
02:01.024,1+4
02:01.399,6
02:01.775,4
02:02.149,1-6
02:02.524,16+
02:02.901,3
02:03.274,1
02:03.649,6-3
02:04.025,1+4
02:04.399,6
02:04.775,4
02:05.150,1-6
02:05.337,6U1U
02:05.712,25
02:05.899,25
02:06.087,2L5U
02:06.462,16
02:06.649,16
02:06.837,1U6U
