00:06.802,2+6
01:45.470,5
01:45.592,2R
01:45.835,25L
01:46.079,2
01:46.161,5
01:46.242,3
01:46.324,6+
01:46.567,1
01:46.811,1L6R
01:47.055,2+
01:47.298,4
01:47.543,5
01:47.786,2L6R
01:48.031,4
01:48.193,3
01:48.274,5+
01:48.519,2
01:48.763,5-2U
01:49.007,1+
01:49.250,4
01:49.494,5
01:49.739,1-6U
01:49.982,4
01:50.226,1+4R
01:50.469,5
01:50.713,3-6
01:50.959,3+6L
01:51.201,4
01:51.445,5
01:51.689,1U6
01:51.933,2
01:52.015,5
01:52.095,3
01:52.177,6+
01:52.420,6-2+
01:52.666,2-5L
01:52.909,2+5+
01:53.641,1R6L
