00:02.542,1L2
01:34.510,1R2L
01:35.495,1R2L
01:36.233,1R2L
01:36.480,1R2L
01:36.968,1+2+
01:37.461,1R2L
01:37.823,1+2+
01:38.184,1-2-
01:38.422,1R2L
01:38.668,1+2+
01:39.162,1-2-
01:39.421,1R
01:39.541,2L
01:39.768,1+2+
01:40.137,1R2L
01:40.383,1R2L
01:40.876,1
01:41.122,2
01:41.368,1
01:41.614,2
01:41.861,1+
01:42.230,1-2
01:42.598,1+2+
01:43.847,1-2-
01:44.335,1!
01:52.708,1L2L
01:53.207,1U2U
01:53.699,1R2R
01:53.945,2
01:54.185,1
01:54.420,2
01:54.666,1+
01:54.912,1-2+
01:55.158,1+2-
01:55.388,1-2+
01:55.635,12-
01:55.881,2
01:56.006,1
01:56.143,2+
01:56.389,12-
01:56.637,2
01:56.883,1
01:57.128,2
01:57.375,1
01:57.621,1
01:57.867,2
01:58.114,1+2+
01:58.483,1-2-
01:58.852,2L1
01:59.227,12
01:59.591,1R2
