0:0:3.561,1+4+
0:0:42.005,2
0:0:42.180,6U
0:0:42.350,3
0:0:42.869,2L
0:0:43.214,3
0:0:43.387,5R
0:0:43.559,3
0:0:43.904,2L
0:0:44.077,5
0:0:44.396,61U
0:0:44.742,5+
0:0:45.086,25-
0:0:45.259,2
0:0:45.604,5
0:0:45.778,2
0:0:45.949,5
0:0:46.123,2
0:0:46.295,5
0:0:46.467,2
0:0:46.641,5
0:0:46.813,2R
0:0:47.677,6+
0:0:48.022,2+6-
0:0:48.366,2-5+
0:0:48.713,15-
0:0:48.885,5U
0:0:49.576,4
0:0:49.749,1+
0:0:50.093,1-5+
0:0:50.452,2+5-
0:0:50.783,2-6
0:0:51.129,2U5
0:0:51.474,5
0:0:51.648,2U
0:0:52.348,3
0:0:52.511,5
0:0:52.864,2
0:0:53.029,4
0:0:53.378,25
0:0:53.713,15+
0:0:54.060,26-
0:0:54.221,6
0:0:54.416,3
0:0:54.580,5
0:0:54.750,2
0:0:55.095,2+6
0:0:55.434,1-5
0:0:55.606,1
0:0:55.637,1
0:0:55.782,4
0:0:55.950,2
0:0:56.135,5
0:0:56.470,35+
0:0:56.987,2+5-
0:0:57.341,6+2-
0:0:57.692,1+6-
0:0:58.016,1R6L
0:0:58.713,6+
0:0:59.069,2+6-
0:0:59.371,2-5+
0:0:59.731,15-
0:0:59.919,5U
0:1:0.603,4
0:1:0.779,1+
0:1:1.116,1-5+
0:1:1.462,2+5-
0:1:1.814,2-6
0:1:2.150,25U
0:1:2.511,2U
0:1:2.667,5U
0:1:3.358,3
0:1:3.544,5
0:1:3.879,2
0:1:4.047,4
0:1:4.382,25
0:1:4.738,26+
0:1:5.099,36-
0:1:5.243,5
0:1:5.428,2
0:1:5.601,4
0:1:5.774,11
0:1:6.123,2+5
0:1:6.452,2-6
0:1:6.630,3
0:1:6.806,5
0:1:6.982,2
0:1:7.150,4
0:1:7.495,1+5R
0:1:8.001,3-6
0:1:8.364,2+5
0:1:8.701,2-4
0:1:9.032,2L6+
0:1:9.381,15-
0:1:9.727,25
0:1:10.073,1
0:1:10.258,1+5R
0:1:10.779,63-
0:1:11.125,15+
0:1:11.460,25-
0:1:11.799,5U2U
0:1:12.488,25
0:1:12.662,25
0:1:13.007,2+5+
0:1:15.597,6-1-
0:1:15.959,25
0:1:16.304,1+
0:1:16.476,6+
0:1:17.686,1-6-
0:1:18.031,2
0:1:18.290,3
0:1:18.548,4
0:1:18.721,25
0:1:19.066,6+
0:1:19.239,1+
0:1:19.757,6-1-
0:1:20.102,25
0:1:20.430,1+
0:1:20.603,6+
0:1:20.949,1-6-
0:1:21.122,4
0:1:21.295,3
0:1:21.467,2+5+
0:1:21.828,2-5-
0:1:21.985,1+6+
0:1:22.676,1R6L
0:1:24.246,5U
0:1:25.626,4U
0:1:27.024,3U
0:1:28.406,2U
0:1:29.605,1!
0:1:35.288,16+
0:1:35.619,26-
0:1:35.776,6U
0:1:36.466,4
0:1:36.649,1+
0:1:36.994,1-5+
0:1:37.342,2+5-
0:1:37.685,2-6
0:1:38.011,2U5
0:1:38.359,5U
0:1:38.532,2U
0:1:39.223,3
0:1:39.395,5
0:1:39.741,2
0:1:39.930,4
0:1:40.275,25
0:1:40.603,26+
0:1:40.960,6-3
0:1:41.122,5
0:1:41.293,2
0:1:41.458,4
0:1:41.630,1
0:1:41.975,2+5
0:1:42.320,2-6
0:1:42.507,3
0:1:42.681,5
0:1:42.854,2
0:1:43.028,4
0:1:43.331,1+5R
0:1:43.859,3-6
0:1:44.203,2+5
0:1:44.539,2-4
0:1:44.901,2L6+
0:1:45.234,15-
0:1:45.575,25
0:1:45.919,6
0:1:46.113,2L6+
0:1:46.638,14-
0:1:46.972,25+
0:1:47.301,36-
0:1:47.646,3U5+
0:1:47.991,25-
0:1:48.336,2
0:1:48.517,5
0:1:48.870,1+5R
0:1:49.371,3-6
0:1:49.724,2+5
0:1:50.062,2-5
0:1:50.405,2U5U
0:1:51.114,2
0:1:51.282,5
0:1:51.631,1+
0:1:51.801,6+
0:1:54.562,1-6-
0:1:55.964,2L5R
0:1:56.654,2L5R
0:1:57.346,14
0:1:57.691,25
0:1:58.016,36
0:1:58.391,25
0:1:58.766,14
0:1:59.151,25
0:1:59.555,36
0:1:59.967,25
0:2:0.449,1+6+
0:2:4.595,1U6-
