00:02.496,1U6U
01:11.936,36-
01:12.460,1+5
01:12.843,1-4
01:13.292,5+3
01:13.750,25-
01:13.977,1+6+
01:14.661,6-2-
01:15.104,2+5
01:15.567,1-4
01:16.016,25+
01:16.457,36-
01:16.921,2+4
01:17.374,2-5
01:17.583,2+5+
01:18.051,1-6-
01:18.728,24
01:19.179,1+5
01:19.631,6+1-
01:20.084,26-
01:20.534,35+
01:20.986,2+5-
01:21.437,2-6+
01:21.873,16-
01:22.099,2+5+
01:22.533,2-5-
01:22.985,1+6+
01:23.437,1-6-
01:23.888,2
01:24.115,5
01:24.340,3
01:24.565,4
01:24.792,2U5U
01:25.922,2+5
01:26.373,1-4
01:26.825,25+
01:27.277,6-3
01:27.728,2+4
01:28.181,2-5
01:28.406,2+5+
01:29.084,1-6-
01:29.536,26+
01:29.987,36-
01:30.439,1+5
01:30.891,1-4
01:31.343,35+
01:31.795,25-
01:32.021,1+6+
01:32.471,5-2U
01:33.148,61
01:33.600,26+
01:34.052,1+6-
01:34.504,1-4
01:34.955,2+5
01:35.408,2-6+
01:35.860,1+6-
01:36.311,1-5
01:36.763,1
01:36.876,4
01:37.102,1
01:37.214,4
01:37.440,1
01:37.553,4
01:37.779,1
01:37.892,4
01:38.571,5
01:38.686,2
01:38.906,5
01:39.016,2
01:39.250,6+
01:39.361,1+
01:39.925,6-1-
01:40.381,2
01:40.485,5
01:40.721,3
01:40.835,4
01:41.054,2
01:41.170,5
01:41.394,3
01:41.504,4
01:41.959,25
01:42.191,1+6+
01:42.867,1-6-
01:43.320,2
01:43.546,3
01:43.772,4
01:43.998,5+2
01:44.450,1
01:44.901,16=
01:45.353,5-2
01:45.579,2+
01:45.805,5
01:46.256,4
01:46.706,5
01:47.159,1-6
01:47.593,1!
01:54.829,16
01:55.281,1+5
01:55.731,1-6+
01:56.182,36-
01:56.634,25+
01:57.084,1+5-
01:57.529,1-6+
01:57.973,26-
01:58.407,6
01:58.520,3
01:58.746,6
01:58.859,3
01:59.084,6
01:59.198,3
01:59.423,6
01:59.536,3
02:00.214,2
02:00.327,5
02:00.552,2
02:00.666,5
02:00.892,1+
02:01.004,6+
02:01.568,1-6-
02:02.020,5
02:02.133,2
02:02.359,4
02:02.454,3
02:02.689,5
02:02.798,2
02:03.041,4
02:03.153,3
02:03.599,25
02:03.821,1+6+
02:04.507,1-6-
02:04.964,5
02:05.168,4
02:05.396,3
02:05.620,2+5
02:06.081,6
02:06.537,1=6
02:06.986,2-5
02:07.228,5+
02:07.457,2
02:07.904,3
02:08.347,2
02:08.799,6-1
02:09.266,25
02:09.487,3
02:09.701,4
02:09.928,3
02:10.153,25
02:10.380,4
02:10.606,3
02:10.832,4
02:11.057,15
02:11.283,1
02:11.508,26
02:11.734,6
02:11.960,15
02:12.184,1
02:12.410,26
02:12.636,6
02:12.859,15+
02:13.071,2+5-
02:13.297,2-6+
02:13.522,1+6-
02:13.748,1-5+
02:13.975,2+5-
02:14.200,2-6+
02:14.426,16-
02:14.652,25
02:14.878,16
02:15.103,25
02:15.329,1L6R
02:16.006,5U2U
