00:02.567,3L6
00:39.699,3
00:39.946,52U
00:40.438,52U
00:40.931,1+6+
00:41.423,1-6-
00:42.162,25
00:42.408,2
00:42.531,4
00:42.778,1+
00:43.147,1-5+
00:43.393,25-
00:43.640,5
00:44.132,25
00:44.391,5
00:44.501,3
00:44.747,6+
00:45.116,1+6-
00:45.363,1-5
00:45.486,2
00:45.608,4
00:45.732,3
00:46.101,25
00:46.347,3
00:46.470,4
00:46.717,2+
00:47.086,2-5
00:47.332,3
00:47.579,4
00:47.825,1+
00:48.071,1-4
00:48.194,1
00:48.440,2+5
00:48.811,6+2-
00:49.302,36-
00:49.791,25+
00:50.294,25-
00:50.539,1+6
00:51.278,1-5
00:51.514,5
00:51.737,3
00:51.983,4
00:52.106,2+
00:52.352,2-5
00:52.599,16+
00:53.214,26-
00:53.706,5+
00:53.953,25-
00:54.076,5
00:54.323,1+
00:54.569,1-4
00:54.691,1
00:54.937,5
00:55.184,2+
00:55.308,5+
00:56.169,1-6-
00:56.661,2U
00:57.154,5
00:57.646,2R5L
00:57.892,3
00:58.015,4
00:58.261,1+
00:58.501,1-5
00:58.626,2
00:58.873,6+
00:59.119,26-
00:59.244,5
00:59.618,2R5L
00:59.856,4
00:59.984,3
01:00.234,6+
01:00.480,26-
01:00.601,5
01:00.851,1+
01:01.102,1-5
01:01.226,2
01:01.841,2+
01:02.087,2-5+
01:02.333,35-
01:02.456,4
01:02.827,2
01:03.072,3
01:03.318,4
01:03.565,5+
01:03.808,25-
01:03.929,6+
01:04.174,16-
01:04.544,2+5+
01:05.036,2-5-
01:05.529,2R5L
01:05.774,4
01:05.899,3
01:06.145,6+
01:06.391,26-
01:06.514,5
01:06.761,1+
01:07.006,1-5
01:07.129,2
01:07.498,2R5L
01:07.744,3
01:07.867,4
01:08.113,2
01:08.359,1+6+
01:08.724,1-6-
01:08.969,16
01:09.216,1L6R
01:09.708,5
01:09.954,4
01:10.200,3
01:10.453,2+
01:10.830,2-5+
01:11.182,15-
01:11.428,1+5+
01:11.921,2-6-
01:12.653,5
01:12.898,2L
01:13.020,5U
01:13.390,4
01:13.512,1+
01:13.758,1-5+
01:14.004,25-
01:14.127,5
01:14.373,3R
01:14.620,6R
01:14.988,5
01:15.111,2
01:15.234,5
01:15.356,2+
01:15.603,2-5
01:15.726,1+
01:15.972,1-6
01:16.095,2
01:16.218,5
01:16.342,2
01:16.582,25
01:17.074,5
01:17.198,2
01:17.320,5
01:17.567,1
01:17.690,4+
01:17.936,14-
01:18.183,5
01:18.302,2
01:18.546,6
01:18.669,3
01:18.915,5+
01:19.159,25-
01:19.268,5
01:19.391,2
01:19.528,5
01:19.654,2
01:20.014,1
01:20.130,4
01:20.253,1
01:20.378,4
01:21.236,25+
01:21.729,1+5-
01:22.221,1-6+
01:22.714,26-
01:23.207,1+
01:23.453,1-4
01:23.576,1
01:23.823,5
01:24.074,2+5+
01:24.444,2-5-
01:24.690,25
01:24.936,2U5L
01:25.428,2
01:25.658,3
01:25.907,4
01:26.150,5+
01:26.407,25-
01:26.528,5
01:26.774,1
01:27.027,1+5+
01:28.137,1-6-
01:29.615,1R6L
01:30.600,1R6L
01:31.585,1R6L
01:32.324,1R6L
01:32.569,1R6L
01:33.554,2R5L
01:34.539,2R5L
01:35.524,2R5L
01:36.263,5L2R
01:36.510,2R5L
01:37.013,1+6+
01:37.508,1R6L
01:37.874,2+5+
01:38.244,2-5-
01:38.487,2R5L
01:38.731,1+6+
01:39.224,1-6-
01:39.452,2R
01:39.575,5L
01:39.821,2+5+
01:40.191,2R5L
01:40.437,5L2R
01:40.930,3
01:41.176,4
01:41.422,2
01:41.668,5
01:41.914,1+
01:42.284,1-6
01:42.654,2+5+
01:43.885,1-4-
01:44.365,1!
01:52.730,2L5L
01:53.219,1U4U
01:53.720,2R5R
01:53.966,4
01:54.217,3
01:54.456,5
01:54.702,2+
01:54.949,2-6+
01:55.195,1+6-
01:55.449,1-5+
01:55.701,25-
01:55.947,6
01:56.070,3
01:56.194,6+
01:56.422,26-
01:56.686,5
01:56.932,4
01:57.178,3
01:57.424,2
01:57.671,3
01:57.915,4
01:58.161,2+5+
01:58.514,2-5-
01:58.883,25L
01:59.252,16
01:59.621,2R5
