0:0:6.520,5U2U
0:1:49.939,25-
0:1:50.399,34
0:1:50.850,16
0:1:51.075,2
0:1:51.189,5
0:1:51.301,3
0:1:51.525,4
0:1:51.750,2L5R
0:1:54.445,5
0:1:54.555,2
0:1:54.662,5
0:1:54.764,2
0:1:54.877,5+
0:1:55.103,2+6-
0:1:55.329,61-
0:1:55.556,2
0:1:55.797,5
0:1:56.022,2
0:1:56.248,4
0:1:56.474,2
0:1:56.701,5
0:1:56.926,2
0:1:57.152,6
0:1:57.378,2
0:1:57.604,5+
0:1:57.830,1
0:1:58.074,25-
0:1:58.298,3
0:1:58.522,4
0:1:58.976,15
0:1:59.202,5
0:1:59.417,2
0:1:59.636,5
0:1:59.862,3
0:2:0.089,5
0:2:0.315,2
0:2:0.540,5
0:2:0.766,1
0:2:0.992,5
0:2:1.218,2+
0:2:1.442,6
0:2:1.669,52-
0:2:1.895,4
0:2:2.120,3
0:2:2.572,26
0:2:2.799,2
0:2:3.022,5
0:2:3.248,2
0:2:3.471,4
0:2:3.692,2
0:2:3.806,5+
0:2:4.145,25-
0:2:4.379,6
0:2:4.613,2
0:2:4.839,5+
0:2:5.289,15-
0:2:5.515,2
0:2:5.742,3
0:2:6.193,15
0:2:6.396,5
0:2:6.628,2
0:2:6.861,5
0:2:7.097,3
0:2:7.322,5
0:2:7.435,2+
0:2:7.774,52-
0:2:7.999,2U
0:2:8.226,5
0:2:8.452,1+
0:2:8.903,61-
0:2:8.930,1-
0:2:9.128,5
0:2:9.242,2
0:2:9.355,4
0:2:9.807,2R5L
0:2:10.258,2R5L
0:2:10.710,5L2R
0:2:11.162,2R5L
0:2:11.613,2R5L
0:2:12.065,2R5L
0:2:12.516,2R5L
0:2:12.964,2R5L
0:2:13.414,16
0:2:13.866,25
0:2:14.074,1
0:2:14.315,25+
0:2:14.622,2+5-
0:2:14.960,2-5
0:2:15.186,3+4+
0:2:16.445,1U6U
0:2:16.783,1+6+
0:2:17.026,1U6U
