00:12.482,36
01:21.549,2-6+
01:21.750,2
01:21.899,16-
01:22.099,1
01:22.183,5
01:22.265,1R
01:22.615,25
01:22.948,2
01:23.033,5
01:23.115,2
01:23.215,5
01:23.298,2
01:23.382,5
01:23.466,2
01:23.565,5+
01:23.648,2+
01:24.015,1U6U
01:24.366,4
01:24.533,3
01:24.699,2+
01:24.873,2-5
01:25.050,1+
01:25.234,5+
01:25.416,1-
01:25.599,25-
01:25.749,3+
01:25.908,6+
01:26.099,3-
01:26.265,26-
01:26.449,6+
01:26.617,3+
01:26.783,5-
01:26.966,2-
01:27.108,4+
01:27.316,1+
01:27.483,5-
01:27.650,2-
01:27.832,2+6+
01:28.166,2-6-
01:28.549,4+
01:28.671,2+4-
01:28.854,2-5
01:29.033,3
01:29.216,2+5+
01:29.569,1-6-
01:29.917,3
01:30.100,4
01:30.250,5+
01:30.436,25-
01:30.622,6+
01:30.799,2+
01:30.954,6-
01:31.154,2-5
01:31.319,4+
01:31.500,1+
01:31.684,4-
01:31.850,1-5
01:32.019,2+
01:32.199,4+
01:32.366,1-
01:32.550,5-
01:32.716,3+
01:32.900,5+
01:33.083,2-
01:33.249,6-
01:33.404,2+6+
01:33.615,2-
01:33.782,1+
01:33.921,1-
01:34.115,26-
01:34.282,3
01:34.354,6
01:34.466,3
01:34.549,6
01:34.632,3
01:34.705,6
01:34.800,3
01:34.982,5+
01:35.083,2
01:35.183,5-
01:35.349,4+
01:35.416,1
01:35.515,4-
01:35.683,5+
01:35.783,2
01:35.866,5-
01:36.033,6+
01:36.132,3
01:36.216,6-
01:36.400,2+
01:36.484,5
01:36.566,2-
01:36.733,1+
01:36.834,4
01:36.917,1-
01:37.083,2+
01:37.166,5
01:37.266,2-
01:37.434,3+
01:37.517,6
01:37.616,3-
01:37.784,5+
01:37.867,2
01:37.967,5-
01:38.133,6+
01:38.233,3
01:38.332,6-
01:38.500,5+
01:38.583,2
01:38.682,5-
01:38.849,4+
01:38.932,1
01:39.033,4-
01:39.200,25
01:39.383,16
01:39.549,25
01:39.717,5
01:39.782,2
01:39.867,5
01:39.949,2
01:40.049,6
01:40.133,3
01:40.222,6
01:40.300,3+
01:40.400,6+
01:40.766,6-
01:40.933,5+
01:41.100,2-5-
01:41.283,3+
01:41.449,3-5+
01:41.643,2+
01:41.984,5-
01:42.150,1-6
01:42.499,1+4+
01:42.766,1-4-
01:42.849,2+5+
01:43.017,2-5-
01:43.199,2U5U
01:43.550,25
01:43.704,6+
01:43.900,1+
01:44.082,6-
01:44.249,5
01:44.416,5+
01:44.767,5-
01:44.959,6+
01:45.117,6-
01:45.271,1-5+
01:45.454,5-
01:45.634,2+
01:45.817,4
01:45.983,2R
01:46.166,5+
01:46.333,5L
01:46.499,1+
01:46.654,1R
01:46.849,6+
01:47.016,6L
01:47.188,2
01:47.366,3
01:47.567,4
01:47.749,5U
01:48.783,2+5+
01:50.154,1=6=
01:51.233,3-4-
01:51.549,34
01:57.150,3+
01:57.316,5
01:57.499,3-5+
01:57.667,2
01:57.850,2+5-
01:58.016,6
01:58.182,2U
01:58.532,4+
01:58.715,1
01:58.882,1+4-
01:59.065,5
01:59.265,1U
01:59.416,5
01:59.488,1
01:59.583,5
01:59.654,1
01:59.766,5
01:59.932,1+5+
02:00.117,5-
02:00.271,6+
02:00.466,2-6-
02:00.604,2+6+
02:00.799,2-
02:00.983,1+
02:01.167,1-5-
02:01.332,2+6+
02:01.488,6-
02:01.683,5+
02:01.850,1-5-
02:02.016,1+5+
02:02.199,1-
02:02.382,2+
02:02.566,2-5-
02:02.738,2L5R
02:03.083,1+
02:03.332,6
02:03.433,6
02:03.700,5
02:03.771,5
02:04.033,6
02:04.133,1-6+
02:04.371,1
02:04.454,1
02:04.732,2
02:04.804,2
02:05.083,1
02:05.166,16-
02:05.516,2+6
02:05.849,2-6+
02:06.216,26-
02:06.315,5
02:06.382,2
02:06.482,5
02:06.565,2
02:06.649,5
02:06.738,2
02:06.832,5
02:06.916,2
02:07.238,1
02:07.382,6
02:07.500,2R
02:07.616,5L
