00:02.191,5+2L
00:56.457,6+
00:56.967,26-
00:57.136,5
00:57.645,5
00:57.813,3+
00:58.068,3-6+
00:58.322,26-
00:58.492,4+
00:58.746,1+4-
00:59.000,1-5
00:59.170,2
00:59.509,4
00:59.678,3+
01:00.017,3-6+
01:00.355,6-1L
01:00.695,25
01:00.865,25
01:01.203,2
01:01.372,3
01:01.542,4
01:01.726,5
01:02.051,5
01:02.221,4
01:02.390,3
01:02.559,2
01:02.899,1
01:03.068,4
01:03.238,2
01:03.406,5
01:03.576,3
01:03.746,6
01:04.091,3
01:04.264,5
01:04.433,2+
01:04.772,2-6
01:04.938,2
01:05.111,5
01:05.277,3
01:05.450,4
01:05.620,2
01:05.790,5U
01:06.126,25
01:06.467,6
01:06.637,3
01:06.806,5
01:06.976,2
01:07.145,4
01:07.315,1+
01:07.654,1L4U
01:08.163,5+
01:08.502,2R5L
01:08.841,25
01:09.180,1
01:09.348,4
01:09.517,2
01:09.687,5
01:09.859,3
01:10.027,6R
01:10.366,2L
01:10.874,1+6+
01:11.212,1L6-
01:11.547,25
01:11.713,25
01:12.052,5
01:12.222,4
01:12.392,3
01:12.560,2
01:12.899,2
01:13.069,3
01:13.238,4
01:13.408,5
01:13.747,6
01:13.916,3
01:14.086,5
01:14.256,2
01:14.425,4
01:14.595,1U
01:15.273,16
01:15.612,2
01:15.781,5
01:15.950,3
01:16.120,4
01:16.460,1
01:16.628,5
01:16.798,2
01:16.953,6
01:17.121,3
01:17.459,5
01:17.630,2
01:17.799,4
01:17.968,1
01:18.138,5+
01:18.646,26-
01:18.816,5
01:19.324,3
01:19.493,4
01:19.835,25
01:20.002,5
01:20.341,3
01:20.511,4
01:20.680,5+
01:21.023,25-
01:21.187,16
01:21.528,1+6+
01:21.870,1-6-
01:22.221,2+5+
01:22.561,2-5-
01:22.730,25
01:23.070,1
01:23.238,4
01:23.409,1R
01:23.749,3
01:23.917,6
01:24.087,3
01:24.256,6L
01:24.765,34
01:25.105,25
01:25.442,1U6U
01:26.115,1!
01:31.545,1L6U
01:31.883,5
01:32.053,4
01:32.223,3
01:32.392,2
01:32.562,16
01:32.732,16
01:32.901,1U6R
01:33.241,2
01:33.409,3
01:33.579,4
01:33.749,5
01:33.919,16
01:34.087,16
01:34.258,2R5L
01:34.596,6
01:34.766,3
01:34.936,5
01:35.105,2
01:35.443,4
01:35.613,1
01:35.783,5
01:35.953,2
01:36.122,6
01:36.292,3
01:36.630,4
01:36.801,2
01:36.970,5R
01:37.308,3
01:37.478,4
01:37.648,2
01:37.817,5
01:37.986,3
01:38.156,4
01:38.325,2L
01:39.851,2U5U
01:41.207,1L6R
01:41.884,1L6R
01:42.563,2U5U
01:43.733,1L
01:45.089,34
01:45.598,16
01:45.936,25
01:46.276,34
01:46.616,25
01:46.956,16
01:47.300,2U5U
01:47.812,1+6+
01:49.174,1U6U
01:49.513,25
01:49.851,6
01:50.021,3
01:50.191,5
01:50.360,2
01:50.529,4
01:50.699,1+
01:51.037,1L4U
01:51.545,5+
01:51.886,2R5L
01:52.225,52
01:52.564,1
01:52.734,4
01:52.902,2
01:53.071,5
01:53.241,3
01:53.411,6R
01:53.749,2L
01:54.258,1+6+
01:54.597,1L6-
01:54.935,25
01:55.106,25
01:55.445,5
01:55.614,4
01:55.783,3
01:55.954,2
01:56.293,2
01:56.462,3
01:56.632,4
01:56.801,5
01:57.140,6
01:57.309,3
01:57.479,5
01:57.649,2
01:57.818,4
01:57.988,1U
01:58.665,16
01:59.005,2
01:59.174,5
01:59.344,3
01:59.514,4
01:59.853,1
02:00.022,5
02:00.191,2
02:00.361,6
02:00.531,3
02:00.869,5
02:01.039,2
02:01.209,4
02:01.378,1
02:01.548,5+
02:02.057,26-
02:02.225,5
02:02.734,3
02:02.904,4
02:03.244,25
02:03.412,5
02:03.751,3
02:03.921,4
02:04.090,5+
02:04.430,25-
02:04.599,16
02:04.938,1+6+
02:05.279,1-6-
02:05.616,2+5+
02:05.955,2-5-
02:06.125,25
02:06.463,1
02:06.632,4
02:06.803,1R
02:07.136,3
02:07.311,6
02:07.481,3
02:07.650,6L
02:08.158,34
02:08.498,25
02:08.836,1+6+
02:09.853,1R6L
