00:01.515,4U
01:44.264,2-5-
01:44.438,1
01:44.524,6
01:44.613,2
01:44.699,5
01:44.787,3
01:44.961,2
01:45.049,5
01:45.136,1
01:45.485,1+5
01:45.835,2-4+
01:46.182,15-
01:46.532,2R
01:46.879,3+6
01:47.229,2-5+
01:47.578,4-1
01:47.929,25
01:48.101,4
01:48.259,3
01:48.433,2
01:48.608,15
01:48.787,4
01:48.960,3
01:49.138,2
01:49.219,5
01:49.311,2
01:49.492,36+
01:49.658,2
01:49.844,16-
01:50.019,5
01:50.118,2
01:50.205,4
01:50.375,3
01:50.449,5
01:50.545,2
01:50.645,4
01:50.728,1
01:51.074,6+2
01:51.428,3+5-
01:51.773,2-6
01:52.126,3R
01:52.461,4+1
01:52.828,2+5-
01:53.161,3-6
01:53.518,25
01:53.684,4
01:53.863,3
01:54.047,4
01:54.206,25
01:54.392,3
01:54.571,4
01:54.736,5
01:54.816,2
01:54.904,5
01:55.087,1+6
01:55.266,5
01:55.438,1-4
01:55.609,2
01:55.702,5
01:55.785,3
01:55.874,4
01:55.961,2
01:56.053,5
01:56.136,3
01:56.217,4
01:56.307,2
01:56.665,1+5
01:56.831,4
01:56.996,2-5+
01:57.180,3
01:57.342,6-2
01:57.694,3R
01:58.042,2+4
01:58.220,5
01:58.400,1-6+
01:58.572,2
01:58.739,5-3
01:59.088,25
01:59.263,4
01:59.421,3
01:59.595,2
01:59.770,15
01:59.945,4
02:00.119,3
02:00.300,2
02:00.398,5
02:00.485,2
02:00.646,16+
02:00.818,2
02:01.001,36-
02:01.174,5
02:01.269,2
02:01.353,4
02:01.516,3
02:01.603,5
02:01.691,2
02:01.782,4
02:01.876,1
02:02.229,6+2
02:02.399,3
02:02.567,2+5-
02:02.749,4
02:02.919,1-5
02:03.258,2R
02:03.614,5+3
02:03.781,2
02:03.962,1+6-
02:04.142,5
02:04.317,2-4
02:04.671,25
02:04.834,3
02:05.015,4
02:05.178,3
02:05.366,25
02:05.535,3
02:05.702,4
02:05.877,5
02:05.964,3
02:06.062,5
02:06.226,1+6
02:06.400,5
02:06.575,1-4
02:06.759,2
02:06.848,4
02:06.924,3
02:07.011,5
02:07.099,2
02:07.186,4
02:07.277,3
02:07.371,5+
02:07.448,2+
02:09.893,1-6-
02:10.254,2+5+
02:10.584,1=6=
02:10.966,(2.5)=(4.5)=
02:11.284,1=6=
02:11.650,(2.5)=(4.5)=
02:12.871,1U6U
