00:04.597,14+
0:01:03.65,1+
0:01:03.80,1-4
0:01:03.97,3
0:01:04.12,5+
0:01:04.27,2+5-
0:01:04.44,2-6
0:01:04.59,14
0:01:04.75,5+
0:01:04.90,2+5-
0:01:05.05,2-4
0:01:05.22,1+
0:01:05.37,1-5+
0:01:05.69,25-
0:01:05.84,2R5R
0:01:06.00,6
0:01:06.07,3+
0:01:06.15,6+
0:01:06.47,1-
0:01:06.77,2+6-
0:01:06.94,5
0:01:07.09,2-4
0:01:07.25,1+
0:01:07.40,1-5
0:01:07.55,3+
0:01:07.72,3-6+
0:01:07.87,1+
0:01:08.19,1-6-
0:01:08.34,2R5R
0:01:08.65,16
0:01:08.80,4+
0:01:08.89,2
0:01:08.97,4-
0:01:09.12,3
0:01:09.27,2
0:01:09.44,16
0:01:09.59,5
0:01:09.75,1+4
0:01:10.05,1-5
0:01:10.22,4
0:01:10.37,3+
0:01:10.54,3-
0:01:10.69,25
0:01:10.84,16
0:01:11.15,2L5R
0:01:11.30,6
0:01:11.47,15
0:01:11.62,4
0:01:11.77,6+
0:01:11.94,2+
0:01:12.09,2-6-
0:01:12.24,1+
0:01:12.55,1-5
0:01:12.72,36+
0:01:12.87,2+
0:01:13.04,2-6-
0:01:13.19,1+4+
0:01:13.34,1L4L
0:01:13.65,6+
0:01:13.80,36-
0:01:13.97,4
0:01:14.12,2+
0:01:14.27,2-5+
0:01:14.44,15-
0:01:14.59,36
0:01:14.75,2+
0:01:14.90,2-5+
0:01:15.05,35-
0:01:15.22,6+
0:01:15.37,2+6-
0:01:15.69,2-5
0:01:15.84,2L5L
0:01:15.99,1
0:01:16.07,4+
0:01:16.15,1+
0:01:16.47,6-
0:01:16.75,1-5+
0:01:16.90,2
0:01:17.05,35-
0:01:17.20,6+
0:01:17.37,26-
0:01:17.52,4+
0:01:17.69,1+4-
0:01:17.84,6+
0:01:18.15,1-6-
0:01:18.32,2L5L
0:01:18.64,16
0:01:18.79,3+
0:01:18.89,5
0:01:18.97,3-
0:01:19.12,4
0:01:19.27,5
0:01:19.44,16
0:01:19.59,2
0:01:19.74,36+
0:01:20.05,26-
0:01:20.22,3
0:01:20.37,4+
0:01:20.54,2+4-
0:01:20.69,2-5+
0:01:20.75,2
0:01:20.84,5-
0:01:21.00,3
0:01:21.15,2+6+
0:01:21.30,6-
0:01:21.47,5+
0:01:21.62,5-
0:01:21.79,1-5L
0:01:21.92,4
0:01:22.07,2+
0:01:22.22,2-
0:01:22.37,1+4+
0:01:22.52,1-
0:01:22.69,2+
0:01:22.84,2-
0:01:23.00,2R6-
0:01:23.15,3
0:01:23.32,5+
0:01:23.47,5-
0:01:23.62,3+6+
0:01:23.77,6-
0:01:23.94,4+
0:01:24.09,4-
0:01:24.25,6
0:01:24.42,1-4+
0:01:24.72,1+5-
0:01:25.04,2-5+
0:01:25.35,16-
0:01:25.49,3+6+
0:01:25.67,3-6-
0:01:25.82,14
0:01:26.12,3U6U
0:01:26.45,25
0:01:26.62,5
0:01:26.77,1+4
0:01:26.94,1-
0:01:27.09,36+
0:01:27.24,6-
0:01:27.40,1L4R
0:01:27.72,25
0:01:27.87,2
0:01:28.04,36+
0:01:28.19,6-
0:01:28.34,1+4
0:01:28.49,1-
0:01:28.65,2+4
0:01:28.80,5
0:01:28.95,2-6
0:01:29.12,4+
0:01:29.20,2
0:01:29.29,4-
0:01:29.44,3+
0:01:29.50,5
0:01:29.59,3-
0:01:29.75,1+6+
0:01:30.07,1-6-
0:01:30.20,1U6U
0:01:30.54,2R
0:01:30.69,5L
0:01:31.00,16
0:01:31.45,0!
0:01:36.00,1+
0:01:36.32,1-4+
0:01:36.47,1
0:01:36.62,4-
0:01:36.79,25
0:01:36.94,5
0:01:37.09,3
0:01:37.25,36+
0:01:37.55,3+6-
0:01:37.72,6
0:01:37.87,3-
0:01:38.04,25
0:01:38.15,2
0:01:38.30,4
0:01:38.47,1+4
0:01:38.77,1-4+
0:01:38.94,1
0:01:39.09,4-
0:01:39.24,25
0:01:39.40,5
0:01:39.55,2
0:01:39.72,2+5+
0:01:40.02,2-5-
0:01:40.12,2
0:01:40.20,6
0:01:40.35,5
0:01:40.52,4
0:01:40.69,3
0:01:40.84,2
0:01:41.15,1L4R
0:01:43.30,1U6U
0:01:44.89,2R
0:01:45.20,5
0:01:45.35,6R
0:01:45.82,1R6L
0:01:46.14,3+4+
0:01:47.37,1R6L
0:01:47.99,3+6+
0:01:48.30,1-4-
0:01:48.62,1+4+
0:01:48.94,4-
0:01:49.09,5+
0:01:49.40,5-
0:01:49.57,6+
0:01:49.87,6-
0:01:50.04,6
0:01:50.19,5
0:01:50.34,3-4+
0:01:50.49,2+4-
0:01:50.64,2-5+
0:01:50.80,5-
0:01:50.97,3
0:01:51.10,2+6+
0:01:51.27,6-
0:01:51.44,5+
0:01:51.59,5-
0:01:51.74,1-5L
0:01:51.89,4
0:01:52.07,2+
0:01:52.22,2-
0:01:52.39,1+4+
0:01:52.54,1-
0:01:52.69,2+
0:01:52.85,2-
0:01:53.00,2R6-
0:01:53.17,3
0:01:53.32,5+
0:01:53.47,5-
0:01:53.64,3+6+
0:01:53.79,6-
0:01:53.95,4+
0:01:54.10,4-
0:01:54.25,6
0:01:54.42,1-4+
0:01:54.57,2
0:01:54.72,1+5-
0:01:54.89,4
0:01:55.04,2-5+
0:01:55.19,1+
0:01:55.35,1-6-
0:01:55.50,2+5+
0:01:55.67,2-5-
0:01:55.74,5
0:01:55.82,3
0:01:55.99,4
0:01:56.14,1+4+
0:01:56.29,1-
0:01:56.45,2+
0:01:56.60,2-
0:01:56.77,2R6-
0:01:56.92,3
0:01:57.07,5+
0:01:57.24,5-
0:01:57.39,3+6+
0:01:57.54,6-
0:01:57.70,5+
0:01:57.85,5-
0:01:58.02,1-5L
0:01:58.17,4
0:01:58.34,2+
0:01:58.50,2-
0:01:58.65,1L5+
0:01:58.82,5-
0:01:58.97,24+
0:01:59.12,4-
0:01:59.29,3+6R
0:01:59.44,3-
0:01:59.59,2+5
0:01:59.75,2-
0:01:59.90,1+6+
0:02:00.20,6U
0:02:00.37,1U
02:00.491,5+
02:00.639,4-
0:02:00.80,3+
0:02:00.97,2-
0:02:01.14,1U6U
0:02:01.45,35
0:02:01.60,3
0:02:01.77,1+6
0:02:01.90,1-
0:02:02.09,24+
0:02:02.25,4-
0:02:02.40,3L5R
0:02:02.72,36
0:02:02.87,6
0:02:03.02,2+4
0:02:03.19,2-
0:02:03.34,1+4
0:02:03.50,1-
0:02:03.65,2
0:02:03.80,3
0:02:03.97,4
0:02:04.12,3
0:02:04.20,5
0:02:04.27,3
0:02:04.44,4
0:02:04.52,2
0:02:04.59,4
0:02:04.75,1L6R
0:02:05.05,4
0:02:05.22,3
0:02:05.52,6
0:02:05.69,6
0:02:05.84,6
0:02:06.00,6
0:02:06.15,1R6L
0:02:07.25,2L5R
0:02:08.04,2R
0:02:08.17,5L
0:02:08.47,16
0:02:08.77,2
0:02:08.94,1+4+
0:02:09.25,1-
0:02:09.40,2+
0:02:09.55,2-
0:02:09.72,1+
0:02:10.04,1-
0:02:10.19,2+
0:02:10.34,2-
0:02:10.49,3+
0:02:10.65,3-
0:02:10.80,2+
0:02:10.97,2-
0:02:11.14,1+
0:02:11.45,1-
0:02:11.77,2+
0:02:11.92,2-
0:02:12.07,3
0:02:12.24,1+
0:02:12.54,1-
0:02:12.70,2
0:02:12.85,3+
0:02:13.15,3-
0:02:13.32,2+
0:02:13.47,2-
0:02:13.62,1+6=
0:02:13.79,2-
0:02:14.09,3+
0:02:14.25,2-
0:02:14.55,1+
0:02:14.72,2-
0:02:15.02,3+
0:02:15.19,2-
0:02:15.50,2+
0:02:15.65,2-
0:02:15.80,1+
0:02:15.97,1-
0:02:16.12,1R4R
0:02:16.44,6
0:02:16.75,4
0:02:17.05,2
0:02:17.37,14
0:02:17.69,2
0:02:17.99,3U6U
0:02:18.30,4
0:02:18.62,36
0:02:18.77,14
0:02:19.74,3+4+
0:02:22.39,3L4R
