00:03.068,2U1U
00:53.257,1
00:53.442,2+
00:53.812,12-
00:53.997,1+
00:54.369,1-2
00:54.554,1
00:54.739,2
00:54.924,1
00:55.295,2
00:55.479,12
00:56.035,1
00:56.219,2
00:56.406,1
00:56.590,2
00:56.776,1
00:56.961,2
00:57.146,1
00:57.331,2
00:57.516,1R
00:57.701,2L
00:58.443,12
00:58.813,1
00:58.998,2
00:59.182,1L
00:59.369,2R
00:59.739,12
00:59.924,2+
01:00.294,1+2-
01:00.665,1R2L
01:01.220,1
01:01.405,2+
01:01.776,12-
01:01.962,2
01:02.146,1
01:02.331,2+
01:02.702,12-
01:02.887,1+
01:03.257,1-2+
01:03.628,1+2-
01:03.999,1-2
01:04.183,1U
01:04.555,2
01:04.739,1
01:04.924,2
01:05.110,1
01:05.295,2+
01:05.666,12-
01:05.850,1+
01:06.221,1-2
01:06.406,1+2+
01:06.962,1-2-
01:07.147,2
01:07.332,1
01:07.517,2+
01:07.888,12-
01:08.073,1+2+
01:08.443,1L
01:08.628,2R
01:09.369,2
01:09.555,1
01:09.740,2+
01:10.110,12-
01:10.294,1+2+
01:10.665,1U
01:10.850,2U
01:11.209,(1.5)
01:17.148,1U2U
01:18.629,1U2U
01:20.110,1L2R
01:20.665,1R2L
01:21.221,1L2R
01:23.073,1+2+
01:25.666,1-2-
01:26.037,1
01:27.332,2L
01:28.259,2
01:28.444,1
01:28.629,2
01:28.815,1
01:29.000,2+
01:29.370,12-
01:29.555,1+
01:29.926,1-2
01:30.111,1
01:30.296,2
01:30.482,1
01:30.851,2
01:31.037,12
01:31.592,1
01:31.777,2
01:31.962,1
01:32.148,2
01:32.333,1
01:32.519,2
01:32.704,1
01:32.889,2
01:33.074,1R
01:33.259,2L
01:34.000,12
01:34.370,1
01:34.556,2
01:34.740,1L
01:34.926,2R
01:35.296,12
01:35.481,2+
01:35.852,1+2-
01:36.223,1R2L
01:36.778,2
01:36.963,2+
01:37.334,12-
01:37.519,2
01:37.704,1
01:37.889,2+
01:38.260,12-
01:38.445,1+
01:38.815,1-2+
01:39.186,1+2-
01:39.556,21-
01:39.741,1U
01:40.112,2
01:40.297,1
01:40.482,2
01:40.667,1
01:40.853,2+
01:41.222,12-
01:41.407,1+
01:41.778,1-2
01:41.964,1+2+
01:42.519,1-2-
01:42.705,2
01:42.889,1
01:43.075,2+
01:43.445,12-
01:43.630,1+2+
01:44.001,1L
01:44.186,2R
01:44.927,2
01:45.112,1
01:45.297,2+
01:45.667,12-
01:45.852,1+2+
01:46.223,1U
01:46.409,2U
01:46.779,12
01:47.150,1
01:47.519,1
01:47.705,2
01:47.890,1
01:48.075,2+
01:48.445,12-
01:48.631,1
01:48.816,2
01:49.001,1
01:49.187,2
01:49.371,1
01:49.557,2
01:49.742,2+
01:50.112,12-
01:50.297,2+
01:50.668,12-
01:50.854,2
01:51.038,1+
01:51.408,1-2
01:51.593,1
01:51.964,1
01:52.149,2
01:52.335,1
01:52.520,2
01:52.704,1
01:52.890,1
01:53.075,1
01:53.261,2
01:53.446,2
01:53.631,2
01:53.816,1+
01:54.371,1-2
01:54.557,1+
01:55.113,1-2
01:55.298,2
01:55.483,2
01:55.668,1+
01:56.038,1-2
01:56.224,1+
01:56.594,1-2
01:56.780,1
01:56.965,2+
01:57.335,12-
01:57.705,1+2+
01:58.076,1-2-
01:58.261,12
01:58.631,2+
01:59.743,1D-
02:00.113,1+
02:01.039,1-
02:01.594,1+
02:02.705,2SL
02:04.002,2
02:04.187,1
02:04.372,2
02:04.557,1R
02:05.113,2
02:05.669,2
02:06.039,2L
02:06.410,1
02:06.595,1
02:07.151,12
02:07.521,1U2U
02:08.262,1
02:08.470,2
02:08.678,1U
02:10.175,1
02:10.422,2
02:10.670,1
02:10.916,1+2+
02:15.485,1R2L
