00:02.248,2U5U
00:55.134,6+
00:55.322,3
00:55.522,6-3
00:55.714,5
00:55.897,2
00:56.097,16
00:56.283,5
00:56.483,3
00:56.674,4
00:56.868,25
00:57.061,3
00:57.252,4
00:57.445,5
00:57.636,1+6
00:57.932,41-
00:58.022,2
00:58.222,5
00:58.410,16
00:58.606,2
00:58.705,5
00:58.806,3
00:58.995,4
00:59.092,2
00:59.186,5+
00:59.381,1
00:59.577,1R5L
00:59.960,26
01:00.154,5
01:00.347,34
01:00.538,2
01:00.730,1+6
01:01.020,1-5
01:01.116,2
01:01.307,6+
01:01.500,3
01:01.691,6-3
01:01.885,25
01:02.078,5
01:02.279,16
01:02.479,3
01:02.671,5
01:02.863,2
01:03.055,16
01:03.247,15
01:03.440,24
01:03.631,35
01:03.824,26
01:04.016,16
01:04.210,25
01:04.401,24
01:04.594,1L
01:04.979,4
01:05.169,1L
01:05.363,4
01:05.554,3
01:05.651,5
01:05.748,2+
01:05.939,6
01:06.132,5
01:06.902,4
01:07.095,1-5
01:07.190,2
01:07.286,6
01:07.479,35
01:07.865,6
01:07.960,3
01:08.057,6
01:08.249,2
01:08.345,5
01:08.441,2
01:08.633,4
01:08.730,1
01:08.826,4
01:09.017,25+
01:09.402,5-3
01:09.595,4
01:09.787,2
01:09.980,16
01:10.171,5
01:10.267,3
01:10.364,4
01:10.555,25
01:10.749,3
01:10.941,4
01:11.133,25+
01:11.325,5-
01:11.518,1+6
01:11.711,1-
01:11.902,5
01:12.095,2
01:12.287,1L6R
01:12.480,5
01:12.575,3
01:12.672,4
01:12.768,2
01:12.865,5
01:12.960,3
01:13.057,4
01:13.249,25
01:13.633,1L6R
01:13.826,2
01:13.922,5
01:14.018,3
01:14.114,4
01:14.211,2
01:14.307,5
01:14.403,1
01:14.499,6
01:14.596,2
01:14.691,5
01:14.787,3
01:14.883,4
01:14.975,2
01:15.148,1+5
01:15.524,1-4
01:15.624,2
01:15.720,5
01:15.914,6+
01:16.099,3
01:16.292,36-
01:16.484,2
01:16.581,4
01:16.677,1+
01:17.063,1-5
01:17.158,2
01:17.255,5
01:17.446,3
01:17.543,6
01:17.638,3
01:17.832,5
01:17.928,2
01:18.024,4
01:18.216,3
01:18.312,5
01:18.409,2+
01:18.793,1-4
01:18.985,2+
01:19.177,5
01:19.370,2-4
01:19.754,15+
01:20.139,6-3
01:20.331,5
01:20.524,2
01:20.717,4
01:20.908,1
01:21.276,5
01:21.469,2
01:21.662,3
01:21.864,4
01:22.059,5
01:22.249,2
01:22.430,3
01:22.633,4
01:22.816,5
01:23.007,25
01:23.588,4
01:23.681,3
01:23.778,5+
01:24.082,25-
01:24.183,5
01:24.280,1
01:24.373,6
01:24.468,2
01:24.575,5L
01:24.959,16
01:25.155,3
01:25.252,4
01:25.348,2+
01:25.632,2-5+
01:25.729,3
01:25.922,25-
01:26.117,1L6R
01:26.502,34
01:26.696,2
01:26.790,5
01:26.884,3
01:27.079,4
01:27.174,2
01:27.270,5
01:27.464,16+
01:27.656,2
01:27.848,36-
01:28.041,5
01:28.233,2
01:28.425,1L6R
01:28.618,5
01:28.811,24
01:29.003,1+
01:29.195,6
01:29.386,1-6
01:29.579,25
01:29.771,2
01:29.963,16
01:30.155,2
01:30.348,3
01:30.541,4
01:30.732,25
01:30.926,25
01:31.118,61
01:31.310,16
01:31.501,4
01:31.598,3
01:31.695,5
01:31.792,2
01:31.887,4
01:31.983,3
01:32.079,5
01:32.176,2
01:32.272,6R
01:33.811,5L
01:34.580,2U
01:35.157,2R
01:36.118,5L
01:36.888,6U3U
01:37.657,5U2U
01:38.426,1U4U
01:39.180,2U5U
01:39.949,2+4
01:40.333,5
01:40.718,61R
01:41.103,25
01:41.487,2R5
01:41.872,52R
01:42.256,25L
01:42.641,34
01:43.026,25
01:43.218,16
01:43.410,25
01:43.603,34
01:43.794,25
01:43.988,16
01:44.180,25
01:44.372,34
01:44.564,2
01:44.660,5
01:44.755,3
01:44.851,4
01:44.948,2
01:45.045,5
01:45.141,3
01:45.238,4
01:45.333,2
01:45.428,5
01:45.525,1
01:46.451,0!
01:52.253,25
01:52.453,3
01:52.641,4
01:52.834,5
01:53.026,16+
01:53.314,26-
01:53.411,5
01:53.603,1+
01:53.794,4
01:53.988,1-4
01:54.181,2
01:54.373,5
01:54.566,16
01:54.757,2
01:54.949,5
01:55.046,3
01:55.141,4
01:55.237,2
01:55.334,5+
01:55.752,25-
01:55.943,1+6+
01:56.328,1-6-
01:56.520,2
01:56.714,2R5L
01:57.097,34
01:57.290,25
01:57.483,1L6R
01:57.867,1
01:57.964,5
01:58.060,2
01:58.156,4
01:58.252,3
01:58.445,25
01:58.636,4
01:58.829,3
01:59.022,2
01:59.214,1+6
01:59.502,1-5
01:59.598,2
01:59.791,6+
01:59.983,3
02:00.176,6-3
02:00.368,5
02:00.560,2
02:00.753,16
02:00.945,5
02:01.136,3
02:01.330,4
02:01.522,25
02:01.714,3
02:01.906,4
02:02.099,5
02:02.291,61+
02:02.579,1-4
02:02.675,2
02:02.868,5
02:03.060,16
02:03.253,2
02:03.349,5
02:03.445,3
02:03.638,4
02:03.733,2
02:03.830,5+
02:04.021,1
02:04.215,1R5L
02:04.600,26
02:04.792,5
02:04.984,34
02:05.177,2
02:05.368,1+6
02:05.657,1-5
02:05.754,2
02:05.945,6+
02:06.138,3
02:06.330,36-
02:06.523,25
02:06.715,5
02:06.907,61
02:07.098,3
02:07.291,5
02:07.484,2
02:07.676,16
02:07.867,15
02:08.060,24
02:08.253,35
02:08.445,26
02:08.637,16
02:08.829,25
02:09.006,24
02:09.198,1L
02:09.583,4
02:09.775,1L
02:09.968,4
02:10.143,3
02:10.238,5
02:10.336,2+
02:10.527,6
02:10.719,5
02:11.105,4
02:11.297,5
02:11.681,1-6
02:11.778,2
02:11.874,5
02:11.970,3
02:12.066,4
02:12.450,25
02:12.644,4
02:12.739,3
02:12.836,5
02:12.931,2
02:13.027,6R
