00:05.189,1+6+
01:00.990,16
01:01.326,25
01:01.660,34
01:01.997,25
01:02.166,5
01:02.250,3
01:02.335,6+
01:02.672,6-2
01:02.840,6
01:03.009,3
01:03.178,5
01:03.515,24
01:03.852,3
01:04.021,5+
01:04.190,1
01:04.359,2+5-
01:04.528,4
01:04.696,2-6
01:04.865,3
01:05.033,1+6
01:05.202,5
01:05.372,1-4
01:05.540,1
01:05.709,5
01:05.878,26
01:06.216,35
01:06.553,26
01:06.722,2
01:06.874,15
01:07.043,1
01:07.380,2
01:07.465,5
01:07.549,2
01:07.633,5
01:07.717,2
01:07.801,5
01:07.886,3
01:08.055,6
01:08.224,2
01:08.393,5
01:08.562,1
01:08.731,3
01:08.815,5
01:08.899,3
01:08.983,5
01:09.067,3
01:09.152,5
01:09.236,2+
01:09.574,2-6
01:09.743,5+
01:10.080,15-
01:10.233,5+
01:10.401,2+
01:12.259,1-6-
01:12.595,2
01:12.765,3
01:12.934,4
01:13.102,1
01:13.185,3
01:13.270,5
01:13.438,2
01:13.606,4
01:13.774,3
01:13.943,24
01:14.112,5
01:14.280,63
01:14.457,2
01:14.626,14
01:14.800,5
01:14.951,36
01:15.128,4
01:15.299,5
01:15.385,2
01:15.477,4
01:15.645,16
01:15.809,5
01:15.897,2
01:15.982,4
01:16.150,3
01:16.318,25
01:16.656,4
01:16.825,2
01:16.994,3
01:17.162,2+4
01:17.498,2-5
01:17.666,16
01:18.002,25
01:18.171,4
01:18.341,3
01:18.509,6
01:18.594,4
01:18.677,2
01:18.845,5
01:19.014,3
01:19.182,4
01:19.352,35
01:19.519,2
01:19.676,14
01:19.844,5
01:20.013,36
01:20.182,2
01:20.350,14
01:20.519,3
01:20.603,5
01:20.687,2
01:20.853,16
01:21.021,2+5+
01:21.361,2U5U
01:21.528,4
01:21.698,3
01:21.866,5
01:21.950,2
01:22.034,4
01:22.203,1+6+
01:22.541,1-6-
01:22.626,2
01:22.710,4
01:22.878,1L4
01:23.216,3
01:23.385,6R3
01:23.722,4
01:23.892,2U4
01:24.228,3
01:24.397,35R
01:24.735,2
01:24.818,5
01:24.903,2
01:24.987,5
01:25.072,2
01:25.156,5
01:25.241,2U
01:25.578,5
01:25.747,2
01:25.915,4
01:26.084,2
01:26.422,4
01:26.760,2R
01:26.928,5
01:27.266,2R
01:27.603,5
01:27.940,2U5U
01:28.277,3
01:28.446,5
01:28.615,2
01:28.773,6
01:29.104,3
01:29.442,4U
01:29.609,2
01:29.776,5
01:29.944,3
01:30.282,25
01:30.788,5L
01:31.292,3
01:31.462,5U
01:31.631,2
01:31.968,5
01:32.137,2R
01:32.475,3
01:32.643,5
01:32.813,2U
01:32.987,4
01:33.335,6+
01:33.504,1
01:33.842,2
01:34.179,35-
01:34.517,2
01:34.685,16
01:35.023,34
01:35.361,25
01:35.698,34
01:36.036,16+
01:36.374,36-
01:36.539,5
01:36.694,2
01:36.864,4
01:37.200,25
01:37.537,3
01:37.706,4
01:37.873,3
01:38.042,2+5
01:38.211,2-
01:38.378,25+
01:38.552,5-
01:38.716,16+
01:39.053,36-
01:39.222,5
01:39.385,2
01:39.548,4
01:39.885,25
01:40.223,4
01:40.393,2
01:40.569,5
01:40.744,3
01:41.092,3
01:41.171,4
01:41.253,5R
01:41.590,3U
01:41.775,4
01:41.944,2U
01:42.111,5
01:42.281,1U
01:42.450,6
01:42.787,1R6L
01:43.125,2
01:43.210,5
01:43.293,2
01:43.378,5
01:43.463,2
01:43.547,5
01:43.631,2
01:43.716,5
01:43.800,2
01:44.131,1!
01:49.645,2+
01:49.965,2-5
01:50.134,1
01:50.303,6
01:50.471,25
01:50.641,4
01:50.809,3
01:50.979,24+
01:51.316,14-
01:51.484,5+
01:51.653,3
01:51.822,25-
01:51.990,3
01:52.159,4
01:52.329,25
01:52.497,4
01:52.581,2
01:52.666,4
01:52.835,3
01:52.919,5
01:53.003,3
01:53.173,4
01:53.256,2
01:53.341,4
01:53.509,16
01:53.839,25
01:54.184,34
01:54.522,25
01:54.691,5
01:54.775,3
01:54.860,6+
01:55.197,26-
01:55.366,6
01:55.534,3
01:55.703,5+
01:56.041,15-
01:56.379,4
01:56.547,2+
01:56.716,4
01:56.885,2-5+
01:57.145,1
01:57.222,35-
01:57.391,6
01:57.560,1+5
01:57.729,4
01:57.897,1-5
01:58.066,1
01:58.234,6
01:58.401,26
01:58.724,35
01:59.062,26
01:59.231,4
01:59.399,2
01:59.568,1+5
01:59.905,1-6
01:59.987,2
02:00.082,5
02:00.164,2
02:00.248,4
02:00.328,2
02:00.412,5+
02:00.750,25-
02:00.918,4
02:01.087,3
02:01.425,25
02:01.762,3
02:01.931,5
02:02.100,2
02:02.269,5+
02:02.438,3
02:02.606,35-
02:02.775,2
02:02.944,5
02:03.113,2+6
02:03.450,2-5
02:03.619,3
02:03.788,4
02:03.956,2
02:04.126,3
02:04.294,4
02:04.463,25
02:04.632,3+6
02:04.801,3-
02:04.969,25+
02:05.138,5-
02:05.307,1+6
02:05.475,1-
02:05.645,5
02:05.813,14
02:05.981,4
02:06.150,25
02:06.332,5
02:06.488,36
02:06.657,3
02:06.744,5
02:06.827,3
02:06.911,5
02:06.995,3
02:07.079,5
02:07.164,2+
02:07.517,2-5
02:07.703,16
02:07.874,25
02:08.041,34
02:08.209,25
02:08.372,1L6R
02:08.884,25
02:09.199,34
02:09.375,5
02:09.460,2
02:09.543,5
02:09.628,2
02:09.712,5
02:09.796,2
02:09.881,5+
02:10.217,25-
02:10.387,2+5+
02:10.726,6-
02:10.910,6+
02:11.232,5-
02:11.399,5+
02:11.736,1-6-
02:11.905,16
02:12.074,34
02:12.243,25
02:12.412,2U5U
