00:02.698,14
00:22.604,6+2-
00:22.786,16-
00:22.966,25
00:23.148,3
00:23.329,4
00:23.510,2
00:23.690,15R
00:23.871,2
00:23.962,4+
00:24.143,34-
00:24.324,5
00:24.414,2+
00:24.595,2-6
00:24.685,3
00:24.776,5
00:24.866,2
00:24.957,4
00:25.048,1
00:25.137,5+
00:25.318,15-
00:25.409,4
00:25.499,2
00:25.589,5
00:25.680,3
00:25.771,6
00:25.861,2
00:26.042,5+
00:26.224,1+5-
00:26.390,1-4
00:26.568,5+
00:26.749,35-
00:26.839,4
00:26.930,2
00:27.116,16
00:27.298,2+
00:27.399,5+
00:27.483,2-
00:27.564,5-
00:27.654,3+
00:27.745,6+
00:27.847,3-
00:27.935,6-
00:28.032,2+
00:28.214,2-5
00:28.304,2
00:28.394,4
00:28.576,3
00:28.756,25
00:28.937,61+
00:29.118,1-5+
00:29.283,2+5-
00:29.480,2-4
00:29.568,2
00:29.650,5
00:29.751,3
00:29.838,6
00:30.017,2+5
00:30.388,1-4
00:30.567,15+
00:30.745,2
00:30.927,6-3
00:31.016,6
00:31.181,2
00:31.271,5
00:31.361,3
00:31.451,4
00:31.633,2U5U
00:31.921,3
00:32.012,4
00:32.185,3
00:32.374,2+4
00:32.554,5
00:32.735,1-6
00:32.916,2
00:33.097,2U5U
00:33.369,4
00:33.459,3
00:33.640,4
00:33.820,35+
00:34.001,2
00:34.177,16-
00:34.361,5
00:34.542,2R5L
00:34.812,3
00:34.896,4
00:35.077,3
00:35.262,2+4
00:35.453,5
00:35.618,1-6
00:35.985,2U5L
00:36.348,2R5U
00:36.701,5L2U
00:36.887,16
00:37.064,16
00:37.249,2
00:37.341,5
00:37.431,3
00:37.612,4
00:37.702,2
00:37.792,5
00:37.883,1+
00:38.058,1-6
00:38.136,2
00:38.227,5
00:38.318,3
00:38.408,4
00:38.499,2
00:38.679,3
00:38.768,6
00:38.860,3
00:38.940,6+
00:39.115,36-
00:39.214,6
00:39.403,2
00:39.494,5
00:39.585,3
00:39.676,4
00:39.765,2
00:39.856,5
00:39.943,3
00:40.309,2
00:40.393,5
00:40.471,3
00:40.563,6
00:40.652,2
00:40.744,5
00:40.855,1
00:40.927,4
00:41.015,2
00:41.105,5
00:41.197,3
00:41.286,6
00:41.377,2+
00:41.558,2-5
00:41.739,16
00:41.919,2
00:42.010,5+
00:42.191,25-
00:42.281,4
00:42.373,3
00:42.644,16
00:42.825,5U2U
00:43.187,16
00:43.549,16
00:43.911,2R5
00:44.092,4
00:44.275,3+
00:44.375,6+
00:44.469,3-
00:44.559,6-
00:44.649,2+
00:44.741,5+
00:44.831,2-
00:44.921,5-
00:45.012,1+
00:45.102,4+
00:45.193,1-
00:45.283,4-
00:45.373,2R
00:45.555,3
00:45.736,4
00:45.916,5
00:46.100,61
00:46.461,16
00:46.830,5L2
00:47.013,3
00:47.196,4
00:47.378,5
00:47.559,6+3
00:47.731,2
00:47.901,15-
00:48.082,2+
00:48.263,2-5R
00:48.443,3
00:48.624,4
00:48.805,2
00:48.986,1+6
00:49.257,1-4
00:49.348,2+
00:49.541,2-5
00:49.708,16+
00:49.980,36-
00:50.070,5+
00:50.250,25-
00:50.448,6R1L
00:50.629,5
00:50.719,2
00:50.810,4
00:50.991,3
00:51.171,2U5U
00:51.336,4
00:51.513,3
00:51.695,5
00:51.876,6+1
00:52.147,36-
00:52.237,5+
00:52.418,25-
00:52.602,16
00:52.779,5
00:52.877,2
00:52.959,4
00:53.140,3
00:53.320,2U5U
00:53.502,4
00:53.683,3
00:53.864,2L5R
00:54.226,6
00:54.316,3
00:54.407,5
00:54.497,2
00:54.588,4+
00:54.769,1+4-
00:55.131,1-6
00:55.312,5
00:55.402,3
00:55.492,4+
00:55.674,2+4-
00:55.855,2-5
00:56.036,16+
00:56.397,26-
00:56.578,5+
00:56.759,1
00:56.940,25-
00:57.031,5
00:57.121,3
00:57.302,4
00:57.483,5
00:57.574,2
00:57.664,6+
00:58.026,6-1
00:58.207,2
00:58.297,4
00:58.388,3+
00:58.569,5+3-
00:58.771,25-
00:58.949,1+6
00:59.311,1-5
00:59.490,2+
00:59.676,6
00:59.858,2-5
00:59.947,2
01:00.037,4
01:00.208,3
01:00.300,5
01:00.398,2
01:00.577,61
01:00.760,5+
01:00.940,2+5-
01:01.122,2-4
01:01.210,2
01:01.302,5+
01:01.483,1+5-
01:01.646,1-4
01:01.836,36+
01:02.212,26-
01:02.393,35
01:02.573,4
01:02.664,2
01:02.754,5
01:02.833,2
01:02.902,6
01:03.085,3
01:03.186,5
01:03.267,2
01:03.352,5
01:03.446,1U
01:04.346,2+5+
01:04.743,2-5-
01:04.906,1U6U
01:05.086,2
01:05.186,5
01:05.286,3
01:05.445,4
01:05.626,25
01:05.808,1L6R
01:06.350,1L4
01:06.621,1L4
01:06.892,1L4
01:07.239,5
01:07.403,4
01:07.584,3
01:07.765,2+5
01:08.038,2-4
01:08.132,3
01:08.307,16+
01:08.490,2
01:08.669,6-3
01:08.854,4
01:09.033,5
01:09.227,6R3
01:09.500,6R3
01:09.771,6R3
01:10.133,2
01:10.315,3
01:10.494,4
01:10.670,15+
01:10.851,5-2
01:10.944,4
01:11.034,3
01:11.124,5
01:11.306,2+
01:11.396,6
01:11.577,2-5
01:11.757,34
01:12.126,52L
01:12.853,61R
01:13.582,52U
01:14.124,4
01:14.215,3
01:14.306,5
01:14.577,1+6+
01:14.831,1-6-
01:15.012,2+5
01:15.374,1-6
01:15.465,1
01:15.556,4
01:15.651,3
01:15.730,5
01:15.821,2
01:15.912,4
01:16.002,3
01:16.093,6
01:16.185,1
01:16.273,4
01:16.364,3
01:16.461,5+
01:16.650,25-
01:16.834,1+
01:17.012,1-6
01:17.102,2+
01:17.282,2-5
01:17.374,2
01:17.538,1U6U
01:17.899,35+
01:18.091,25-
01:18.188,6+
01:18.364,16-
01:18.452,5+
01:18.640,25-
01:18.821,3
01:18.985,41
01:19.186,5
01:19.363,36+
01:19.545,6-2
01:19.634,5
01:19.725,1+
01:19.909,1-4+
01:20.086,24-
01:20.267,3
01:20.360,5
01:20.448,2
01:20.629,1+
01:20.810,6+1-
01:20.978,6-2
01:21.065,6
01:21.167,3
01:21.261,5
01:21.352,2
01:21.533,1+4
01:21.711,1-5
01:21.794,2
01:21.892,6+
01:22.058,6-3
01:22.239,2+5
01:22.419,2-4
01:22.511,3
01:22.601,5+
01:22.789,25-
01:22.979,16
01:23.160,2
01:23.251,5
01:23.341,3
01:23.432,4
01:23.522,2
01:23.612,5
01:23.701,1L
01:23.887,4
01:23.974,2+
01:24.155,2-5
01:24.245,2
01:24.426,2R5L
01:24.607,4
01:24.788,35
01:24.964,2
01:25.147,6R1L
01:25.328,5
01:25.502,34
01:25.688,2
01:25.779,5+
01:25.870,2+
01:25.962,5-
01:26.050,2-
01:26.231,4
01:26.412,3
01:26.593,26R
01:26.773,3
01:26.954,4
01:27.135,1+6
01:27.316,1-5+
01:27.494,2+5-
01:27.677,62-
01:27.766,3
01:27.860,6
01:27.947,3
01:28.038,6+
01:28.219,2
01:28.400,25-
01:28.581,1+
01:28.671,6+
01:28.762,1-
01:28.848,6-
01:28.926,2+
01:29.017,5+
01:29.111,2-
01:29.214,5-
01:29.303,3
01:29.378,4
01:29.468,2L
01:29.659,6
01:29.839,5
01:29.922,2
01:30.012,4
01:30.189,3+
01:30.390,3-5+
01:30.567,25-
01:30.653,5
01:30.749,1+
01:30.930,4
01:31.111,1-4
01:31.292,5
01:31.382,2
01:31.472,6+
01:31.654,3
01:31.824,36-
01:31.998,2
01:32.092,5
01:32.185,3
01:32.343,6+
01:32.526,1
01:32.712,6-2
01:32.795,5
01:32.886,3
01:33.067,4+
01:33.248,2+4-
01:33.429,2-5
01:33.520,2
01:33.610,6+
01:33.791,3
01:33.980,6-3
01:34.167,2
01:34.248,5
01:34.334,1+
01:34.515,4
01:34.696,1-4
01:34.787,1
01:34.877,5+
01:35.058,35-
01:35.150,4
01:35.238,2L
01:35.420,6
01:35.601,5
01:35.692,2
01:35.783,4
01:35.963,3+
01:36.144,3-5+
01:36.325,25-
01:36.415,5
01:36.506,1+
01:36.691,4
01:36.868,1-4
01:37.049,5
01:37.141,2
01:37.232,6+
01:37.410,3
01:37.591,6-3
01:37.773,25
01:37.953,1+
01:38.133,4
01:38.321,4
01:38.505,1-5
01:38.688,6+
01:38.873,3
01:39.053,3
01:39.229,6-2
01:39.412,1+
01:39.608,5
01:39.793,1-5
01:39.880,2
01:39.973,4
01:40.153,3
01:40.334,25
01:40.516,4
01:40.607,3
01:40.696,6
01:40.787,1
01:40.877,4
01:40.967,3
01:41.057,5R
01:41.237,1
01:41.407,2
01:41.500,5
01:41.582,3
01:41.763,4+
01:41.944,2+4-
01:42.126,2-5
01:42.226,2
01:42.322,6+
01:42.503,3
01:42.683,36-
01:42.864,2
01:42.954,5
01:43.045,1+
01:43.207,4
01:43.401,1-4
01:43.582,5
01:43.673,2
01:43.764,4
01:43.947,1+
01:44.120,6
01:44.305,1-5
01:44.396,2
01:44.481,4
01:44.655,3+
01:44.849,3-5+
01:45.017,25-
01:45.102,5
01:45.193,1+
01:45.386,4
01:45.571,1-4
01:45.752,5
01:45.842,2
01:45.933,6+
01:46.114,3
01:46.294,36-
01:46.385,5
01:46.476,2
01:46.566,4
01:46.656,3
01:46.836,1L6R
01:47.001,6+
01:47.091,1+
01:47.181,6-
01:47.274,1-
01:47.377,5
01:47.560,2R5L
01:47.743,1+
01:47.834,6+
01:47.921,1-
01:48.012,6-
01:48.102,2
01:48.284,1L6R
01:48.454,3
01:48.645,4
01:48.820,2+5
01:49.002,6+2-
01:49.166,16-
01:49.255,5+
01:49.358,2
01:49.546,35-
01:49.634,4
01:49.712,2+
01:50.087,4
01:50.449,5
01:50.720,1-6
01:50.993,43
01:51.172,2U5
01:52.585,0!
01:58.387,16+
01:58.587,16-
01:58.737,25+
01:58.915,35-
01:59.123,1+6
01:59.305,1-5
01:59.392,2+
01:59.560,2-4
01:59.650,2
01:59.833,15
02:00.013,24
02:00.196,3
02:00.283,5
02:00.374,2
02:00.463,6+
02:00.638,36-
02:00.743,5+
02:00.916,15-
02:00.988,4
02:01.086,2
02:01.176,5
02:01.281,3+
02:01.453,3-6
02:01.638,2+5
02:01.825,2-4
02:02.001,16+
02:02.181,26-
02:02.272,5+
02:02.442,35-
02:02.527,5
02:02.727,16
02:02.905,25
02:03.086,4
02:03.177,3
02:03.271,5
02:03.374,2+
02:03.547,2-4
02:03.628,3
02:03.808,1+6+
02:03.988,1-6-
02:04.170,2R5L
02:04.430,34
02:04.705,16
02:04.911,5+
02:04.947,2+
02:04.990,5-
02:05.028,2-
02:05.063,6+
02:05.115,1+
02:05.160,6-
02:05.205,1-
02:05.247,5+
02:05.297,2+
02:05.343,5-
02:05.386,2-
02:05.435,6+
02:05.526,6-
02:05.615,1U
